#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099965.1-p1      -           1149 2346at5820           -            854         0 1355.7  28.9   1   3  4.7e-305  4.3e-302 1002.6  11.1     6   599    10   721     1   723 0.93 | transcript=PVX_099965.1 | gene=PVX_099965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1140688-1144137(-) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099965.1-p1      -           1149 2346at5820           -            854         0 1355.7  28.9   2   3   1.6e-26   1.5e-23   81.1   0.0   597   651   791   845   788   854 0.94 | transcript=PVX_099965.1 | gene=PVX_099965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1140688-1144137(-) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099965.1-p1      -           1149 2346at5820           -            854         0 1355.7  28.9   3   3   2.3e-86   2.1e-83  279.1   6.8   652   854   909  1149   891  1149 0.94 | transcript=PVX_099965.1 | gene=PVX_099965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1140688-1144137(-) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094715.1-p1      -            776 2346at5820           -            854   0.00029   17.3  18.6   1   3   3.1e-07   0.00029   17.3  18.6   322   478   115   272   111   323 0.83 | transcript=PVX_094715.1 | gene=PVX_094715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:479165-481693(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094715.1-p1      -            776 2346at5820           -            854   0.00029   17.3  18.6   2   3       1.4   1.3e+03   -4.7  15.8   318   431   512   626   506   633 0.86 | transcript=PVX_094715.1 | gene=PVX_094715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:479165-481693(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094715.1-p1      -            776 2346at5820           -            854   0.00029   17.3  18.6   3   3      0.45   4.2e+02   -3.1  19.2   483   604   610   733   605   767 0.79 | transcript=PVX_094715.1 | gene=PVX_094715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:479165-481693(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092705.1-p1      -            735 2346at5820           -            854   0.00042   16.8  15.6   1   2   8.9e-07   0.00082   15.8   8.5   436   558   195   324   191   331 0.87 | transcript=PVX_092705.1 | gene=PVX_092705 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1656594-1658801(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092705.1-p1      -            735 2346at5820           -            854   0.00042   16.8  15.6   2   2    0.0017       1.6    5.0   0.6   370   411   480   523   463   557 0.76 | transcript=PVX_092705.1 | gene=PVX_092705 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1656594-1658801(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 2346at5820           -            854     0.034   10.5  14.3   1   3   2.5e-05     0.023   11.0   2.9   522   593    74   146    70   168 0.88 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 2346at5820           -            854     0.034   10.5  14.3   2   3     0.024        22    1.2   0.0   328   435   384   485   371   489 0.55 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 2346at5820           -            854     0.034   10.5  14.3   3   3    0.0035       3.2    3.9   1.6   342   404   538   599   523   614 0.80 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086225.1-p1      -            132 2346at5820           -            854       3.3    3.9   9.4   1   1     0.004       3.7    3.7   9.4   122   218     7   105     3   128 0.59 | transcript=PVX_086225.1 | gene=PVX_086225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1932389-1932922(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097730.1-p1      -            449 2346at5820           -            854       5.4    3.2   7.4   1   1    0.0083       7.7    2.7   7.4    96   182   280   370   275   427 0.54 | transcript=PVX_097730.1 | gene=PVX_097730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr10:1211955-1213304(-) | protein_length=449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2346at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:16 2026
# [ok]
