#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089560.1-p1      -            406 7619at5820           -            348  2.4e-159  528.3   8.8   1   3   5.7e-83   4.5e-80  267.7   4.6     3   150     4   155     2   158 0.98 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 7619at5820           -            348  2.4e-159  528.3   8.8   2   3     3e-38   2.4e-35  120.6   0.1   150   237   174   263   168   270 0.94 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 7619at5820           -            348  2.4e-159  528.3   8.8   3   3   2.3e-44   1.8e-41  140.7   0.0   237   347   286   404   277   405 0.93 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 7619at5820           -            348   1.1e-30  105.3  20.9   1   3   1.7e-32   1.4e-29  101.6   9.6     1   204    18   223    18   240 0.82 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 7619at5820           -            348   1.1e-30  105.3  20.9   2   3   8.2e-05     0.065   10.6   1.1   170   235   325   394   296   403 0.81 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 7619at5820           -            348   1.1e-30  105.3  20.9   3   3      0.51   4.1e+02   -1.9   0.0   259   289   455   484   454   491 0.70 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 7619at5820           -            348   1.6e-25   88.2  20.2   1   3   3.7e-10   2.9e-07   28.2  10.8     2   169    64   232    63   274 0.82 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 7619at5820           -            348   1.6e-25   88.2  20.2   2   3   1.9e-18   1.5e-15   55.5   0.1     2   170   524   705   523   715 0.76 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 7619at5820           -            348   1.6e-25   88.2  20.2   3   3   0.00022      0.18    9.2   0.3   179   255   908   984   881   994 0.79 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 7619at5820           -            348   1.2e-20   72.2  15.8   1   4   8.3e-10   6.6e-07   27.0   3.9     2    67   214   279   213   319 0.77 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 7619at5820           -            348   1.2e-20   72.2  15.8   2   4     2e-13   1.5e-10   39.0   0.1     2    67   670   744   669   756 0.86 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
