#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088945.1-p1      -           1311 1302at5820           -            902         0 1453.0  60.3   1   6   3.6e-15   3.3e-12   43.5   0.1    12    44    68   100    66   102 0.94 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1302at5820           -            902         0 1453.0  60.3   2   6  8.2e-133  7.6e-130  432.8  13.8    44   250   150   356   142   438 0.86 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1302at5820           -            902         0 1453.0  60.3   3   6  2.3e-160  2.1e-157  524.0   0.2   275   592   465   818   458   823 0.87 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1302at5820           -            902         0 1453.0  60.3   4   6   3.9e-54   3.6e-51  172.5   0.2   591   691   883   983   871   987 0.96 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1302at5820           -            902         0 1453.0  60.3   5   6   1.1e-76     1e-73  247.0  17.1   690   862  1025  1225  1014  1233 0.82 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1302at5820           -            902         0 1453.0  60.3   6   6   2.4e-16   2.2e-13   47.4   0.4   859   902  1268  1311  1266  1311 0.96 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 1302at5820           -            902   3.7e-15   53.3  19.5   1   3   1.4e-10   1.2e-07   28.4   5.2    23   185    80   258    67   263 0.74 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 1302at5820           -            902   3.7e-15   53.3  19.5   2   3     4e-07   0.00037   16.9   0.7   328   430   495   593   469   655 0.62 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 1302at5820           -            902   3.7e-15   53.3  19.5   3   3   6.9e-07   0.00064   16.1   0.5   627   702   720   798   709   859 0.82 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1302at5820           -            902   1.2e-13   48.3  13.8   1   4   4.3e-14     4e-11   40.0   1.7    13   189    40   235    33   268 0.76 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1302at5820           -            902   1.2e-13   48.3  13.8   2   4   0.00068      0.63    6.2   0.1   403   433   453   482   432   496 0.82 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1302at5820           -            902   1.2e-13   48.3  13.8   3   4   0.00011       0.1    8.8   0.0   625   644   615   634   603   648 0.86 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
