#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085315.1-p1      -            956 1968at5820           -            840         0 1614.1  52.5   1   1         0         0 1613.5  52.5     1   840     8   952     8   952 0.93 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 1968at5820           -            840   8.2e-55  184.4   8.9   1   2   0.00012     0.058    9.6   1.4   679   769   161   260   152   281 0.75 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 1968at5820           -            840   8.2e-55  184.4   8.9   2   2   6.1e-56   3.1e-53  179.2   1.1   171   408   428   660   377   690 0.90 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085730.1-p1      -            304 1968at5820           -            840   1.3e-43  147.4   0.0   1   1   3.4e-46   1.7e-43  147.0   0.0   175   411    57   287    50   296 0.88 | transcript=PVX_085730.1 | gene=PVX_085730 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=Pv_Sal1_chr13:1469870-1472025(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119815.1-p1      -            308 1968at5820           -            840     4e-40  135.8   0.4   1   1   9.4e-43   4.7e-40  135.6   0.4   170   410    45   280    10   295 0.84 | transcript=PVX_119815.1 | gene=PVX_119815 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=Pv_Sal1_chr08:1182495-1183421(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099825.1-p1      -            307 1968at5820           -            840   1.6e-39  133.8   0.8   1   1   3.8e-42   1.9e-39  133.6   0.8   167   415    40   282     7   291 0.82 | transcript=PVX_099825.1 | gene=PVX_099825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=Pv_Sal1_chr07:1067165-1068088(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099685.1-p1      -            507 1968at5820           -            840   2.8e-37  126.4   0.0   1   1     9e-40   4.5e-37  125.7   0.0   175   407   244   476   166   493 0.86 | transcript=PVX_099685.1 | gene=PVX_099685 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=Pv_Sal1_chr07:964361-966052(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 1968at5820           -            840     2e-34  117.0   2.3   1   1   6.4e-37   3.2e-34  116.3   2.3   173   427   564   846   473   858 0.82 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093605.1-p1      -            564 1968at5820           -            840   5.2e-28   95.7   1.3   1   1   1.3e-30   6.6e-28   95.4   1.3   175   418    82   333    61   399 0.82 | transcript=PVX_093605.1 | gene=PVX_093605 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=Pv_Sal1_chr01:672200-674439(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 1968at5820           -            840   1.3e-12   44.8   1.1   1   2     0.025        13    1.8   0.0   176   216  1159  1201  1085  1209 0.87 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 1968at5820           -            840   1.3e-12   44.8   1.1   2   2   7.3e-14   3.7e-11   40.0   0.7   199   403  1251  1498  1246  1516 0.71 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
