#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084730.1-p1      -           1704 1254at5820           -           1057         0 1817.6 155.0   1   8   1.2e-27   2.3e-24   83.8   5.6     1    74    30   113    30   119 0.88 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1254at5820           -           1057         0 1817.6 155.0   2   8   1.7e-16     3e-13   46.9   0.1    71   114   194   241   189   272 0.85 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1254at5820           -           1057         0 1817.6 155.0   3   8    2e-275  3.8e-272  904.1  59.4    84   588   321   842   310   847 0.93 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1254at5820           -           1057         0 1817.6 155.0   4   8     4e-52   7.3e-49  164.9  15.5   581   694   963  1080   955  1083 0.93 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1254at5820           -           1057         0 1817.6 155.0   5   8   1.4e-09   2.6e-06   24.0   0.0   686   720  1104  1139  1098  1142 0.84 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1254at5820           -           1057         0 1817.6 155.0   6   8   1.6e-79     3e-76  255.6  14.1   720   854  1183  1317  1180  1330 0.96 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1254at5820           -           1057         0 1817.6 155.0   7   8   3.4e-15   6.3e-12   42.6   0.7   854   894  1465  1505  1455  1510 0.86 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 1254at5820           -           1057         0 1817.6 155.0   8   8  1.1e-100     2e-97  325.7  15.7   887  1057  1526  1697  1521  1697 0.97 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1254at5820           -           1057   9.7e-49  164.5 104.8   1   6     6e-28   1.1e-24   84.8  33.7   140   530   577   985   554  1007 0.79 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1254at5820           -           1057   9.7e-49  164.5 104.8   2   6    0.0019       3.5    3.7  13.2   489   596  1020  1124   988  1163 0.67 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1254at5820           -           1057   9.7e-49  164.5 104.8   3   6   9.2e-15   1.7e-11   41.1   8.2   593   659  1254  1319  1222  1358 0.75 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1254at5820           -           1057   9.7e-49  164.5 104.8   4   6   2.4e-06    0.0045   13.3   0.1   696   741  1499  1545  1495  1551 0.90 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1254at5820           -           1057   9.7e-49  164.5 104.8   5   6   1.4e-08   2.7e-05   20.6   4.6   743   802  1658  1719  1651  1776 0.79 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 1254at5820           -           1057   9.7e-49  164.5 104.8   6   6   1.7e-10   3.1e-07   27.0   9.3   892  1054  1841  2023  1833  2026 0.70 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117190.1-p1      -           1449 1254at5820           -           1057   4.4e-07   26.5  73.1   1   4       2.5   4.6e+03   -6.6   8.8   301   397    51   142    39   151 0.73 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117190.1-p1      -           1449 1254at5820           -           1057   4.4e-07   26.5  73.1   2   4   3.8e-10     7e-07   25.9  55.4   186   646   155   623   145   634 0.74 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117190.1-p1      -           1449 1254at5820           -           1057   4.4e-07   26.5  73.1   3   4     3e-07   0.00055   16.3   9.6   717   803  1183  1268  1160  1327 0.78 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
