#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118245.1-p1      -            188 14515at5820          -            111   5.6e-45  150.8   7.8   1   2   5.3e-12   7.4e-09   34.5   0.1     1    49     1    51     1    80 0.77 | transcript=PVX_118245.1 | gene=PVX_118245 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2529023-2529589(-) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118245.1-p1      -            188 14515at5820          -            111   5.6e-45  150.8   7.8   2   2   8.2e-38   1.1e-34  117.6   4.2    49   111   126   188   114   188 0.93 | transcript=PVX_118245.1 | gene=PVX_118245 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2529023-2529589(-) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001920.1-p1      -           1607 14515at5820          -            111      0.13   11.2   6.2   1   2     0.069        95    2.0   0.6    40    77   457   494   415   510 0.83 | transcript=PVX_001920.1 | gene=PVX_001920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:246827-251650(-) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001920.1-p1      -           1607 14515at5820          -            111      0.13   11.2   6.2   2   2    0.0002      0.27   10.2   0.7    13    72  1301  1353  1293  1356 0.81 | transcript=PVX_001920.1 | gene=PVX_001920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:246827-251650(-) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122425.1-p1      -           1097 14515at5820          -            111      0.21   10.5   4.1   1   3       0.8   1.1e+03   -1.4   0.0    13    61    36    79    29    87 0.59 | transcript=PVX_122425.1 | gene=PVX_122425 | organism=Plasmodium_vivax_Sal-1 | gene_product=M1-family alanyl aminopeptidase, putative | transcript_product=M1-family alanyl aminopeptidase, putative | location=Pv_Sal1_chr14:551798-555091(+) | protein_length=1097 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122425.1-p1      -           1097 14515at5820          -            111      0.21   10.5   4.1   2   3       1.9   2.6e+03   -2.6   0.1    68    91   598   621   572   641 0.69 | transcript=PVX_122425.1 | gene=PVX_122425 | organism=Plasmodium_vivax_Sal-1 | gene_product=M1-family alanyl aminopeptidase, putative | transcript_product=M1-family alanyl aminopeptidase, putative | location=Pv_Sal1_chr14:551798-555091(+) | protein_length=1097 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122425.1-p1      -           1097 14515at5820          -            111      0.21   10.5   4.1   3   3   0.00017      0.24   10.4   0.4    42    83   949   994   940  1003 0.75 | transcript=PVX_122425.1 | gene=PVX_122425 | organism=Plasmodium_vivax_Sal-1 | gene_product=M1-family alanyl aminopeptidase, putative | transcript_product=M1-family alanyl aminopeptidase, putative | location=Pv_Sal1_chr14:551798-555091(+) | protein_length=1097 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101365.1-p1      -            701 14515at5820          -            111       3.1    6.8   9.5   1   2      0.14   1.9e+02    1.0   1.7    11    62   183   234   175   243 0.84 | transcript=PVX_101365.1 | gene=PVX_101365 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2826335-2828873(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101365.1-p1      -            701 14515at5820          -            111       3.1    6.8   9.5   2   2   0.00039      0.54    9.2   1.1     7    64   339   396   334   403 0.89 | transcript=PVX_101365.1 | gene=PVX_101365 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2826335-2828873(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14515at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14515at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14515at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:37 2026
# [ok]
