#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084625.1-p1      -           1355 1301at5820           -           1082         0 2246.7  13.3   1   1         0         0 2245.6  13.3    11  1082   201  1355   193  1355 0.95 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1301at5820           -           1082    3e-122  407.7  20.2   1   4   1.1e-59   1.2e-56  190.5   3.5    17   383    12   399     3   442 0.86 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1301at5820           -           1082    3e-122  407.7  20.2   2   4   1.2e-14   1.3e-11   41.3   0.1   518   648   660   790   638   804 0.86 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1301at5820           -           1082    3e-122  407.7  20.2   3   4   1.4e-53   1.6e-50  170.2   0.2   677   837   852  1012   838  1042 0.92 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1301at5820           -           1082    3e-122  407.7  20.2   4   4     6e-07   0.00066   15.8   0.8   976  1069  1083  1178  1053  1187 0.87 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 1301at5820           -           1082   9.4e-18   61.7   8.8   1   4   9.3e-11     1e-07   28.4   1.2    24   193   363   531   341   544 0.81 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 1301at5820           -           1082   9.4e-18   61.7   8.8   2   4     0.094     1e+02   -1.4   0.0   292   362   684   754   664   771 0.71 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 1301at5820           -           1082   9.4e-18   61.7   8.8   3   4   0.00047      0.52    6.2   0.0   534   664  1188  1314  1118  1325 0.79 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 1301at5820           -           1082   9.4e-18   61.7   8.8   4   4   5.2e-11   5.8e-08   29.3   0.1   669   776  1553  1659  1476  1715 0.69 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1301at5820           -           1082   5.9e-11   39.2   2.2   1   4    0.0027       2.9    3.8   0.0   125   188   517   584   432   629 0.73 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1301at5820           -           1082   5.9e-11   39.2   2.2   2   4     0.011        13    1.7   0.1   337   367   788   819   667   829 0.65 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
