#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094620.1-p1      -            940 3405at5820           -            606         0 1053.2 153.9   1   6    8e-117  1.1e-113  379.2  42.4     1   214     3   228     3   238 0.94 | transcript=PVX_094620.1 | gene=PVX_094620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:398076-400898(+) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094620.1-p1      -            940 3405at5820           -            606         0 1053.2 153.9   2   6     2e-57   2.8e-54  183.0  16.2   206   316   256   365   247   371 0.96 | transcript=PVX_094620.1 | gene=PVX_094620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:398076-400898(+) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094620.1-p1      -            940 3405at5820           -            606         0 1053.2 153.9   3   6   7.2e-07     0.001   16.1   0.8   309   338   425   454   411   463 0.83 | transcript=PVX_094620.1 | gene=PVX_094620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:398076-400898(+) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094620.1-p1      -            940 3405at5820           -            606         0 1053.2 153.9   4   6   4.9e-16   6.7e-13   46.4   4.3   327   376   486   539   472   548 0.80 | transcript=PVX_094620.1 | gene=PVX_094620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:398076-400898(+) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094620.1-p1      -            940 3405at5820           -            606         0 1053.2 153.9   5   6   0.00025      0.34    7.7   1.7   371   406   640   671   628   697 0.76 | transcript=PVX_094620.1 | gene=PVX_094620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:398076-400898(+) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094620.1-p1      -            940 3405at5820           -            606         0 1053.2 153.9   6   6  2.9e-138    4e-135  450.1  50.4   383   606   716   940   691   940 0.96 | transcript=PVX_094620.1 | gene=PVX_094620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:398076-400898(+) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085455.1-p1      -           1021 3405at5820           -            606   3.1e-09   34.3  97.0   1   2   8.5e-06     0.012   12.6  47.5    24   290    27   294     6   312 0.63 | transcript=PVX_085455.1 | gene=PVX_085455 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1182453-1185518(+) | protein_length=1021 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085455.1-p1      -           1021 3405at5820           -            606   3.1e-09   34.3  97.0   2   2   3.9e-07   0.00054   17.0  41.5   383   597   776  1007   755  1012 0.72 | transcript=PVX_085455.1 | gene=PVX_085455 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1182453-1185518(+) | protein_length=1021 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084205.1-p1      -            103 3405at5820           -            606      0.23    8.3   5.6   1   1   0.00017      0.24    8.2   5.6   302   382    11    94     1   102 0.71 | transcript=PVX_084205.1 | gene=PVX_084205 | organism=Plasmodium_vivax_Sal-1 | gene_product=signal recognition particle subunit SRP14, putative | transcript_product=signal recognition particle subunit SRP14, putative | location=Pv_Sal1_chr13:95331-95907(+) | protein_length=103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092785.1-p1      -            324 3405at5820           -            606      0.43    7.4   4.4   1   1   0.00043      0.59    6.9   4.4   329   381   233   287   204   298 0.77 | transcript=PVX_092785.1 | gene=PVX_092785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1722975-1723949(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
