#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8   1  12   3.1e-67   2.8e-64  214.9  16.2     1   138     1   158     1   168 0.93 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8   2  12         0         0 1990.7 200.5   133  1169   180  1283   170  1289 0.95 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8   3  12  6.9e-157  6.3e-154  512.5  33.5  1166  1407  1342  1583  1334  1587 0.98 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8   4  12  5.3e-114  4.9e-111  370.1  22.5  1406  1597  1650  1854  1648  1857 0.95 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8   5  12  8.6e-216  7.9e-213  708.0  38.2  1597  1936  1960  2303  1954  2305 0.98 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8   6  12   3.1e-22   2.9e-19   65.5   0.7  1935  2009  2404  2513  2401  2516 0.85 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8   7  12  1.6e-281  1.5e-278  926.1  83.0  2010  2538  2574  3171  2569  3175 0.94 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8   8  12  1.4e-303  1.3e-300  999.3  67.3  2544  3063  3257  3795  3246  3798 0.97 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8   9  12  2.8e-142  2.6e-139  464.0  34.7  3061  3327  3969  4239  3966  4251 0.94 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8  10  12  1.1e-148    1e-145  485.3  19.9  3330  3579  4407  4658  4394  4663 0.97 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 44at5820             -           3972         0 7357.5 637.8  11  12  4.1e-189  3.7e-186  619.4  35.8  3571  3927  4755  5153  4750  5160 0.93 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
