#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115130.1-p1      -            655 4293at5820           -            463  3.4e-236  782.7  43.1   1   4   1.7e-86   3.1e-83  278.4  13.7    31   180    50   199    21   204 0.90 | transcript=PVX_115130.1 | gene=PVX_115130 | organism=Plasmodium_vivax_Sal-1 | gene_product=endonuclease/exonuclease/phosphatase domain containing protein | transcript_product=endonuclease/exonuclease/phosphatase domain containing protein | location=Pv_Sal1_chr11:292548-294765(-) | protein_length=655 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115130.1-p1      -            655 4293at5820           -            463  3.4e-236  782.7  43.1   2   4   7.6e-30   1.4e-26   91.6   0.0   174   229   234   289   218   296 0.86 | transcript=PVX_115130.1 | gene=PVX_115130 | organism=Plasmodium_vivax_Sal-1 | gene_product=endonuclease/exonuclease/phosphatase domain containing protein | transcript_product=endonuclease/exonuclease/phosphatase domain containing protein | location=Pv_Sal1_chr11:292548-294765(-) | protein_length=655 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115130.1-p1      -            655 4293at5820           -            463  3.4e-236  782.7  43.1   3   4   3.9e-59   7.3e-56  188.2   7.9   225   343   322   452   319   467 0.86 | transcript=PVX_115130.1 | gene=PVX_115130 | organism=Plasmodium_vivax_Sal-1 | gene_product=endonuclease/exonuclease/phosphatase domain containing protein | transcript_product=endonuclease/exonuclease/phosphatase domain containing protein | location=Pv_Sal1_chr11:292548-294765(-) | protein_length=655 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115130.1-p1      -            655 4293at5820           -            463  3.4e-236  782.7  43.1   4   4   3.6e-74   6.6e-71  237.7   2.9   336   463   521   648   491   648 0.93 | transcript=PVX_115130.1 | gene=PVX_115130 | organism=Plasmodium_vivax_Sal-1 | gene_product=endonuclease/exonuclease/phosphatase domain containing protein | transcript_product=endonuclease/exonuclease/phosphatase domain containing protein | location=Pv_Sal1_chr11:292548-294765(-) | protein_length=655 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080270.1-p1      -           2718 4293at5820           -            463   1.4e-22   78.5   9.7   1   2   4.2e-20   7.8e-17   59.5   6.2    19   254  2315  2589  2305  2598 0.75 | transcript=PVX_080270.1 | gene=PVX_080270 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:532081-540355(+) | protein_length=2718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080270.1-p1      -           2718 4293at5820           -            463   1.4e-22   78.5   9.7   2   2   1.4e-07   0.00025   18.2   0.1   387   437  2636  2686  2617  2713 0.80 | transcript=PVX_080270.1 | gene=PVX_080270 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:532081-540355(+) | protein_length=2718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081410.1-p1      -            335 4293at5820           -            463     0.015   12.4   0.0   1   3     0.039        72    0.3   0.0    86   108    47    69     9   103 0.82 | transcript=PVX_081410.1 | gene=PVX_081410 | organism=Plasmodium_vivax_Sal-1 | gene_product=carbon catabolite repressor protein 4, putative | transcript_product=carbon catabolite repressor protein 4, putative | location=Pv_Sal1_chr02:326709-328985(-) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081410.1-p1      -            335 4293at5820           -            463     0.015   12.4   0.0   2   3     0.078   1.4e+02   -0.7   0.0   184   220   158   194   141   213 0.75 | transcript=PVX_081410.1 | gene=PVX_081410 | organism=Plasmodium_vivax_Sal-1 | gene_product=carbon catabolite repressor protein 4, putative | transcript_product=carbon catabolite repressor protein 4, putative | location=Pv_Sal1_chr02:326709-328985(-) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081410.1-p1      -            335 4293at5820           -            463     0.015   12.4   0.0   3   3   0.00014      0.25    8.3   0.0   398   454   278   329   247   333 0.82 | transcript=PVX_081410.1 | gene=PVX_081410 | organism=Plasmodium_vivax_Sal-1 | gene_product=carbon catabolite repressor protein 4, putative | transcript_product=carbon catabolite repressor protein 4, putative | location=Pv_Sal1_chr02:326709-328985(-) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4293at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4293at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4293at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:01 2026
# [ok]
