#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081330.1-p1      -           1087 1806at5820           -            857         0 1369.4   3.2   1   4    6e-162  1.1e-158  527.7   0.0     1   284    14   304    14   322 0.96 | transcript=PVX_081330.1 | gene=PVX_081330 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr02:251199-254666(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081330.1-p1      -           1087 1806at5820           -            857         0 1369.4   3.2   2   4    1e-195  1.9e-192  639.4   0.1   283   699   360   846   351   861 0.91 | transcript=PVX_081330.1 | gene=PVX_081330 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr02:251199-254666(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081330.1-p1      -           1087 1806at5820           -            857         0 1369.4   3.2   3   4   5.5e-14     1e-10   38.2   0.0   709   753   893   939   866   952 0.86 | transcript=PVX_081330.1 | gene=PVX_081330 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr02:251199-254666(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081330.1-p1      -           1087 1806at5820           -            857         0 1369.4   3.2   4   4   8.9e-51   1.6e-47  160.0   0.0   749   857   966  1086   958  1086 0.91 | transcript=PVX_081330.1 | gene=PVX_081330 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr02:251199-254666(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117900.1-p1      -            862 1806at5820           -            857  7.5e-124  412.5  18.4   1   3     6e-86   1.1e-82  276.3   3.6    11   281    25   300    17   322 0.93 | transcript=PVX_117900.1 | gene=PVX_117900 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2239892-2242640(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117900.1-p1      -            862 1806at5820           -            857  7.5e-124  412.5  18.4   2   3     2e-40   3.7e-37  125.7   6.7   279   612   326   686   315   705 0.82 | transcript=PVX_117900.1 | gene=PVX_117900 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2239892-2242640(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117900.1-p1      -            862 1806at5820           -            857  7.5e-124  412.5  18.4   3   3   6.5e-07    0.0012   14.8   0.0   717   842   705   847   694   859 0.66 | transcript=PVX_117900.1 | gene=PVX_117900 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2239892-2242640(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 1806at5820           -            857   1.9e-12   43.9   6.7   1   4    0.0083        15    1.2   0.1   611   674   284   347   257   410 0.76 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 1806at5820           -            857   1.9e-12   43.9   6.7   2   4   6.2e-08   0.00011   18.2   0.1   649   697   727   783   681   805 0.63 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 1806at5820           -            857   1.9e-12   43.9   6.7   3   4   1.1e-05      0.02   10.8   0.1   652   674  1127  1150  1113  1169 0.87 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 1806at5820           -            857   1.9e-12   43.9   6.7   4   4   1.2e-06    0.0021   14.0   0.0   651   699  1239  1294  1228  1306 0.71 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1806at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1806at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1806at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:50 2026
# [ok]
