#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123245.1-p1      -            303 8695at5820           -            275  1.7e-171  566.9   9.3   1   1  3.5e-174  1.9e-171  566.7   9.3     1   275     1   291     1   291 0.97 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 8695at5820           -            275   2.1e-22   77.9   5.5   1   1   2.4e-24   1.4e-21   75.2   5.5    39   247    43   258    16   276 0.77 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000735.1-p1      -            953 8695at5820           -            275   2.9e-17   61.0   1.3   1   1   9.6e-20   5.3e-17   60.2   1.3    54   235   685   877   680   923 0.73 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 8695at5820           -            275   1.2e-16   59.1   1.9   1   2   0.00095      0.53    7.7   0.2    24   109    33   125    24   131 0.66 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 8695at5820           -            275   1.2e-16   59.1   1.9   2   2   9.2e-17   5.1e-14   50.4   0.1   108   233   516   649   477   677 0.83 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122290.1-p1      -            782 8695at5820           -            275   1.2e-10   39.4   2.6   1   2       1.7   9.5e+02   -3.0   0.3    56   194   314   328   240   352 0.56 | transcript=PVX_122290.1 | gene=PVX_122290 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=Pv_Sal1_chr14:471314-473986(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122290.1-p1      -            782 8695at5820           -            275   1.2e-10   39.4   2.6   2   2   2.1e-13   1.2e-10   39.4   2.6   106   247   598   753   573   763 0.72 | transcript=PVX_122290.1 | gene=PVX_122290 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=Pv_Sal1_chr14:471314-473986(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 8695at5820           -            275   5.9e-10   37.1   1.4   1   2      0.66   3.6e+02   -1.6   0.1    49    74   156   183   145   223 0.72 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 8695at5820           -            275   5.9e-10   37.1   1.4   2   2   2.2e-12   1.2e-09   36.0   0.2   105   236   367   517   318   535 0.76 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 8695at5820           -            275   1.2e-08   32.8  10.2   1   1   2.6e-09   1.4e-06   26.0  10.2    16   234   764  1035   753  1067 0.67 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 8695at5820           -            275   0.00023   18.7   5.4   1   2   1.2e-06   0.00066   17.2   0.7    50   167   540   673   519   702 0.68 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
