#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082770.1-p1      -            378 10220at5820          -            295  1.4e-173  574.3  46.4   1   3     1e-53   1.2e-50  170.7  17.3     1   114     1   116     1   125 0.86 | transcript=PVX_082770.1 | gene=PVX_082770 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr12:707978-709114(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082770.1-p1      -            378 10220at5820          -            295  1.4e-173  574.3  46.4   2   3    0.0054         6    4.2   6.3    66   123   100   164    97   171 0.72 | transcript=PVX_082770.1 | gene=PVX_082770 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr12:707978-709114(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082770.1-p1      -            378 10220at5820          -            295  1.4e-173  574.3  46.4   3   3    4e-126  4.5e-123  408.4  15.3    92   295   176   378   154   378 0.94 | transcript=PVX_082770.1 | gene=PVX_082770 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr12:707978-709114(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123115.1-p1      -            313 10220at5820          -            295   7.7e-30  102.4  26.0   1   2   1.5e-08   1.7e-05   22.5   0.8     8    48     3    43     1    62 0.87 | transcript=PVX_123115.1 | gene=PVX_123115 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr14:1143760-1145296(+) | protein_length=313 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123115.1-p1      -            313 10220at5820          -            295   7.7e-30  102.4  26.0   2   2     2e-27   2.3e-24   84.4  18.8    53   259    76   295    58   304 0.79 | transcript=PVX_123115.1 | gene=PVX_123115 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr14:1143760-1145296(+) | protein_length=313 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099785.1-p1      -            156 10220at5820          -            295   2.5e-14   51.5   2.4   1   2   4.4e-15   4.9e-12   43.9   0.9   125   216    18   110     8   114 0.90 | transcript=PVX_099785.1 | gene=PVX_099785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr07:1041058-1041751(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099785.1-p1      -            156 10220at5820          -            295   2.5e-14   51.5   2.4   2   2   0.00014      0.16    9.4   0.0   248   284   107   142   106   153 0.83 | transcript=PVX_099785.1 | gene=PVX_099785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr07:1041058-1041751(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095415.1-p1      -            894 10220at5820          -            295   2.7e-07   28.3   2.5   1   2       3.3   3.6e+03   -4.9   2.4    69    91   223   247   212   258 0.39 | transcript=PVX_095415.1 | gene=PVX_095415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1087943-1090627(+) | protein_length=894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095415.1-p1      -            894 10220at5820          -            295   2.7e-07   28.3   2.5   2   2   2.4e-10   2.7e-07   28.3   2.5    59   189   696   827   671   833 0.70 | transcript=PVX_095415.1 | gene=PVX_095415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1087943-1090627(+) | protein_length=894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118055.1-p1      -            321 10220at5820          -            295     0.003   15.1   1.2   1   2   2.7e-06     0.003   15.1   1.2    98   163    97   163    61   215 0.79 | transcript=PVX_118055.1 | gene=PVX_118055 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2369022-2369987(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118055.1-p1      -            321 10220at5820          -            295     0.003   15.1   1.2   2   2      0.25   2.8e+02   -1.2   0.0   203   218   262   277   232   295 0.75 | transcript=PVX_118055.1 | gene=PVX_118055 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2369022-2369987(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
