#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087945.1-p1      -            234 11249at5820          -            199  4.4e-118  390.4  12.4   1   2   1.1e-81   7.9e-79  262.2   6.9     1   128     7   134     7   146 0.98 | transcript=PVX_087945.1 | gene=PVX_087945 | organism=Plasmodium_vivax_Sal-1 | gene_product=EKC/KEOPS complex subunit BUD32, putative | transcript_product=EKC/KEOPS complex subunit BUD32, putative | location=Pv_Sal1_chr01:304866-306211(+) | protein_length=234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087945.1-p1      -            234 11249at5820          -            199  4.4e-118  390.4  12.4   2   2   1.1e-41   7.8e-39  131.7   0.3   126   199   156   234   149   234 0.95 | transcript=PVX_087945.1 | gene=PVX_087945 | organism=Plasmodium_vivax_Sal-1 | gene_product=EKC/KEOPS complex subunit BUD32, putative | transcript_product=EKC/KEOPS complex subunit BUD32, putative | location=Pv_Sal1_chr01:304866-306211(+) | protein_length=234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090095.1-p1      -            643 11249at5820          -            199     1e-05   23.6   2.5   1   2   1.5e-08     1e-05   23.6   2.5    19   136   133   245   119   259 0.81 | transcript=PVX_090095.1 | gene=PVX_090095 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=Pv_Sal1_chr05:1123070-1125001(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090095.1-p1      -            643 11249at5820          -            199     1e-05   23.6   2.5   2   2         8   5.5e+03   -8.9   7.2    25    51   611   638   597   642 0.49 | transcript=PVX_090095.1 | gene=PVX_090095 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=Pv_Sal1_chr05:1123070-1125001(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 11249at5820          -            199   1.6e-05   23.0   2.4   1   1   5.1e-08   3.5e-05   21.8   2.4    41   141   114   222    81   231 0.73 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 11249at5820          -            199   0.00049   18.1   0.8   1   2       3.6   2.5e+03   -3.8   0.1     8    23   119   134   117   137 0.87 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 11249at5820          -            199   0.00049   18.1   0.8   2   2   7.1e-07   0.00049   18.1   0.8    69   139   837   912   766   918 0.67 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 11249at5820          -            199    0.0016   16.4   1.3   1   1   4.5e-06    0.0031   15.5   1.3    41   142    63   170     9   186 0.71 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 11249at5820          -            199    0.0019   16.2   6.8   1   1   7.2e-06     0.005   14.8   6.8    25   140   509   629   492   634 0.83 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 11249at5820          -            199    0.0071   14.3   1.3   1   1   1.8e-05     0.012   13.5   1.3    40   127  1382  1474  1349  1488 0.78 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 11249at5820          -            199      0.11   10.4   3.1   1   2    0.0014      0.96    7.3   0.2    18    72  2815  2865  2805  2875 0.80 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
