#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114935.1-p1      -           1000 1945at5820           -            869         0 1663.1  57.3   1   2  9.2e-104  1.7e-100  335.9  29.2     1   207     3   234     3   244 0.92 | transcript=PVX_114935.1 | gene=PVX_114935 | organism=Plasmodium_vivax_Sal-1 | gene_product=exosome complex exonuclease RRP44, putative | transcript_product=exosome complex exonuclease RRP44, putative | location=Pv_Sal1_chr11:499701-502703(-) | protein_length=1000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114935.1-p1      -           1000 1945at5820           -            869         0 1663.1  57.3   2   2         0         0 1332.7  20.1   201   869   253  1000   246  1000 0.97 | transcript=PVX_114935.1 | gene=PVX_114935 | organism=Plasmodium_vivax_Sal-1 | gene_product=exosome complex exonuclease RRP44, putative | transcript_product=exosome complex exonuclease RRP44, putative | location=Pv_Sal1_chr11:499701-502703(-) | protein_length=1000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113905.1-p1      -           2702 1945at5820           -            869   7.5e-41  138.6  37.5   1   3   9.6e-18   1.8e-14   51.3  10.0   204   443  1438  1723  1423  1749 0.76 | transcript=PVX_113905.1 | gene=PVX_113905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1403099-1412658(+) | protein_length=2702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113905.1-p1      -           2702 1945at5820           -            869   7.5e-41  138.6  37.5   2   3   1.6e-19   2.9e-16   57.2   0.9   443   540  2047  2146  2011  2165 0.88 | transcript=PVX_113905.1 | gene=PVX_113905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1403099-1412658(+) | protein_length=2702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113905.1-p1      -           2702 1945at5820           -            869   7.5e-41  138.6  37.5   3   3     2e-14   3.7e-11   40.3  11.5   599   744  2385  2533  2315  2544 0.71 | transcript=PVX_113905.1 | gene=PVX_113905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1403099-1412658(+) | protein_length=2702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098745.1-p1      -           1762 1945at5820           -            869   2.4e-31  107.1  21.5   1   4      0.03        56    0.0   0.9   214   302   380   489   353   495 0.51 | transcript=PVX_098745.1 | gene=PVX_098745 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=Pv_Sal1_chr07:215206-220628(-) | protein_length=1762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098745.1-p1      -           1762 1945at5820           -            869   2.4e-31  107.1  21.5   2   4      0.23   4.3e+02   -2.9   0.0   340   368   601   629   593   646 0.85 | transcript=PVX_098745.1 | gene=PVX_098745 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=Pv_Sal1_chr07:215206-220628(-) | protein_length=1762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098745.1-p1      -           1762 1945at5820           -            869   2.4e-31  107.1  21.5   3   4   5.8e-25   1.1e-21   75.2   0.1   410   519   745   864   723   936 0.83 | transcript=PVX_098745.1 | gene=PVX_098745 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=Pv_Sal1_chr07:215206-220628(-) | protein_length=1762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098745.1-p1      -           1762 1945at5820           -            869   2.4e-31  107.1  21.5   4   4   4.6e-14   8.5e-11   39.1   8.2   589   745  1087  1243  1043  1287 0.67 | transcript=PVX_098745.1 | gene=PVX_098745 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=Pv_Sal1_chr07:215206-220628(-) | protein_length=1762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1945at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1945at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1945at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:26 2026
# [ok]
