#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098615.1-p1      -           2446 289at5820            -           1989         0 3774.1 193.9   1   3  6.4e-219  1.2e-215  717.3  56.7     1   452     1   572     1   583 0.92 | transcript=PVX_098615.1 | gene=PVX_098615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:51432-58957(-) | protein_length=2446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098615.1-p1      -           2446 289at5820            -           1989         0 3774.1 193.9   2   3  9.8e-174  1.8e-170  567.4  36.9   452   792   633  1037   629  1054 0.94 | transcript=PVX_098615.1 | gene=PVX_098615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:51432-58957(-) | protein_length=2446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098615.1-p1      -           2446 289at5820            -           1989         0 3774.1 193.9   3   3         0         0 2501.6  84.4   789  1989  1116  2440  1091  2440 0.98 | transcript=PVX_098615.1 | gene=PVX_098615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:51432-58957(-) | protein_length=2446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 289at5820            -           1989   1.3e-19   67.2  11.8   1   3   9.8e-14   1.8e-10   36.9   0.2   846  1032   260   423   221   445 0.85 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 289at5820            -           1989   1.3e-19   67.2  11.8   2   3   6.3e-14   1.2e-10   37.5   0.1  1396  1481   576   668   547   707 0.82 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 289at5820            -           1989   1.3e-19   67.2  11.8   3   3      0.18   3.2e+02   -3.8   2.4  1942  1971  1062  1092  1008  1137 0.60 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 289at5820            -           1989     5e-16   55.3  14.7   1   4   2.9e-09   5.3e-06   22.1   6.2   848  1031   308   468   296   521 0.81 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 289at5820            -           1989     5e-16   55.3  14.7   2   4    0.0031       5.7    2.1   0.3  1236  1268   602   634   581   661 0.81 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 289at5820            -           1989     5e-16   55.3  14.7   3   4   4.3e-17   7.9e-14   48.0   1.3  1392  1483   674   772   650   817 0.80 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 289at5820            -           1989     5e-16   55.3  14.7   4   4      0.66   1.2e+03   -5.7   3.2  1575  1683  1142  1248  1137  1263 0.63 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/289at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/289at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/289at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:26 2026
# [ok]
