#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099850.1-p1      -            396 13376at5820          -            313  1.7e-145  482.4  75.1   1   2     8e-77   1.1e-73  246.5  38.7     2   189     5   193     4   198 0.87 | transcript=PVX_099850.1 | gene=PVX_099850 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1077694-1079148(-) | protein_length=396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099850.1-p1      -            396 13376at5820          -            313  1.7e-145  482.4  75.1   2   2   2.4e-75   3.3e-72  241.6  32.4   131   313   189   396   186   396 0.84 | transcript=PVX_099850.1 | gene=PVX_099850 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1077694-1079148(-) | protein_length=396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_106720-t26_1-p1  -            220 13376at5820          -            313      0.99    6.8  13.0   1   2   0.00012      0.16    9.4   8.6   122   231    35   144    11   153 0.45 | transcript=PVX_106720-t26_1 | gene=PVX_106720 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000046:2203-2991(-) | protein_length=220 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_106720-t26_1-p1  -            220 13376at5820          -            313      0.99    6.8  13.0   2   2      0.25   3.4e+02   -1.5   0.1    36    50   185   199   181   214 0.58 | transcript=PVX_106720-t26_1 | gene=PVX_106720 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000046:2203-2991(-) | protein_length=220 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_094990.1-p1      -            698 13376at5820          -            313       1.2    6.6  13.7   1   2   2.3e-05     0.031   11.8   7.1   145   228    95   175    73   217 0.61 | transcript=PVX_094990.1 | gene=PVX_094990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:717528-719624(+) | protein_length=698 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094990.1-p1      -            698 13376at5820          -            313       1.2    6.6  13.7   2   2       1.5   2.1e+03   -4.1   0.5   196   204   481   489   436   521 0.48 | transcript=PVX_094990.1 | gene=PVX_094990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:717528-719624(+) | protein_length=698 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080535.1-p1      -           1048 13376at5820          -            313       1.5    6.3  20.0   1   3     0.061        85    0.5   5.1   148   266   241   373   224   385 0.44 | transcript=PVX_080535.1 | gene=PVX_080535 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase UvrD, putative | transcript_product=ATP-dependent DNA helicase UvrD, putative | location=Pv_Sal1_chr10:750278-753424(+) | protein_length=1048 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080535.1-p1      -           1048 13376at5820          -            313       1.5    6.3  20.0   2   3      0.17   2.4e+02   -1.0   0.0    86   145   655   714   644   733 0.71 | transcript=PVX_080535.1 | gene=PVX_080535 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase UvrD, putative | transcript_product=ATP-dependent DNA helicase UvrD, putative | location=Pv_Sal1_chr10:750278-753424(+) | protein_length=1048 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080535.1-p1      -           1048 13376at5820          -            313       1.5    6.3  20.0   3   3   0.00035      0.49    7.8   8.8   118   212   814   907   806   929 0.61 | transcript=PVX_080535.1 | gene=PVX_080535 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase UvrD, putative | transcript_product=ATP-dependent DNA helicase UvrD, putative | location=Pv_Sal1_chr10:750278-753424(+) | protein_length=1048 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13376at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13376at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13376at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:04 2026
# [ok]
