#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095220.1-p1      -            535 5306at5820           -            502         0 1088.5  28.3   1   1         0         0 1082.2  28.3     1   502     1   535     1   535 0.97 | transcript=PVX_095220.1 | gene=PVX_095220 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=Pv_Sal1_chr08:911208-912815(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114865.1-p1      -            529 5306at5820           -            502   2.2e-77  259.0  24.0   1   1     6e-80   3.7e-77  258.3  24.0    24   496    18   526     9   529 0.85 | transcript=PVX_114865.1 | gene=PVX_114865 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit delta, putative | transcript_product=T-complex protein 1 subunit delta, putative | location=Pv_Sal1_chr11:565497-567817(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119465.1-p1      -            532 5306at5820           -            502     3e-73  245.4  14.4   1   1   4.2e-75   2.6e-72  242.3  14.4    27   497    20   523     8   527 0.87 | transcript=PVX_119465.1 | gene=PVX_119465 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=Pv_Sal1_chr08:1454037-1455635(+) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119530.1-p1      -            540 5306at5820           -            502   1.4e-71  239.9  19.3   1   1   2.7e-72   1.7e-69  233.0  19.3    11   497     8   525     4   530 0.86 | transcript=PVX_119530.1 | gene=PVX_119530 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=Pv_Sal1_chr08:1400038-1401841(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092215.1-p1      -            543 5306at5820           -            502   4.9e-70  234.8  11.4   1   1   1.3e-71   8.2e-69  230.8  11.4    24   497    11   532     6   537 0.82 | transcript=PVX_092215.1 | gene=PVX_092215 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=Pv_Sal1_chr09:1183648-1185521(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124100.1-p1      -            544 5306at5820           -            502   1.9e-67  226.2  19.5   1   1   6.4e-70   3.9e-67  225.2  19.5    17   497    12   527     4   530 0.88 | transcript=PVX_124100.1 | gene=PVX_124100 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=Pv_Sal1_chr14:2060440-2062271(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113595.1-p1      -            543 5306at5820           -            502   7.1e-42  141.9  20.4   1   1   1.8e-43   1.1e-40  137.9  20.4    26   497    16   534     3   538 0.78 | transcript=PVX_113595.1 | gene=PVX_113595 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=Pv_Sal1_chr11:1676200-1678047(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002835.1-p1      -            544 5306at5820           -            502   2.2e-40  137.0  27.4   1   1   6.2e-43   3.8e-40  136.2  27.4    27   497    24   524     8   528 0.79 | transcript=PVX_002835.1 | gene=PVX_002835 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=Pv_Sal1_chr04:312876-314760(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095000.1-p1      -            580 5306at5820           -            502   5.5e-11   40.0  10.2   1   2   1.4e-10   8.7e-08   29.4   2.2    25   206    38   222    21   268 0.73 | transcript=PVX_095000.1 | gene=PVX_095000 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=Pv_Sal1_chr08:723282-725290(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095000.1-p1      -            580 5306at5820           -            502   5.5e-11   40.0  10.2   2   2   3.3e-06     0.002   15.0   1.2   358   486   411   542   399   556 0.68 | transcript=PVX_095000.1 | gene=PVX_095000 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=Pv_Sal1_chr08:723282-725290(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5306at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5306at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5306at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:09 2026
# [ok]
