#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119465.1-p1      -            532 4796at5820           -            494         0 1064.1  12.5   1   1         0         0 1063.9  12.5     1   494     8   529     8   529 0.98 | transcript=PVX_119465.1 | gene=PVX_119465 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=Pv_Sal1_chr08:1454037-1455635(+) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092215.1-p1      -            543 4796at5820           -            494   4.9e-84  281.0   6.6   1   1   1.1e-86   6.5e-84  280.6   6.6    14   494    15   538     6   538 0.84 | transcript=PVX_092215.1 | gene=PVX_092215 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=Pv_Sal1_chr09:1183648-1185521(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095220.1-p1      -            535 4796at5820           -            494   1.6e-76  256.3  18.6   1   1   3.1e-79   1.9e-76  256.0  18.6     9   488    23   530    14   533 0.84 | transcript=PVX_095220.1 | gene=PVX_095220 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=Pv_Sal1_chr08:911208-912815(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119530.1-p1      -            540 4796at5820           -            494   1.1e-70  237.0  12.7   1   1   2.9e-73   1.8e-70  236.3  12.7     2   489    12   526    11   530 0.84 | transcript=PVX_119530.1 | gene=PVX_119530 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=Pv_Sal1_chr08:1400038-1401841(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114865.1-p1      -            529 4796at5820           -            494   6.7e-66  221.2  17.5   1   1   1.5e-68   9.3e-66  220.7  17.5    10   489    18   528    11   529 0.83 | transcript=PVX_114865.1 | gene=PVX_114865 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit delta, putative | transcript_product=T-complex protein 1 subunit delta, putative | location=Pv_Sal1_chr11:565497-567817(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124100.1-p1      -            544 4796at5820           -            494   6.4e-54  181.7  15.2   1   1   1.3e-56   8.2e-54  181.3  15.2     3   488    12   527    10   532 0.81 | transcript=PVX_124100.1 | gene=PVX_124100 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=Pv_Sal1_chr14:2060440-2062271(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002835.1-p1      -            544 4796at5820           -            494   3.2e-36  123.3  22.8   1   1   6.6e-39   4.1e-36  123.0  22.8     2   491    12   527    11   529 0.80 | transcript=PVX_002835.1 | gene=PVX_002835 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=Pv_Sal1_chr04:312876-314760(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113595.1-p1      -            543 4796at5820           -            494   2.2e-23   80.9  12.3   1   1   3.9e-25   2.4e-22   77.5  12.3    25   489    29   535    17   538 0.77 | transcript=PVX_113595.1 | gene=PVX_113595 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=Pv_Sal1_chr11:1676200-1678047(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123825.1-p1      -            244 4796at5820           -            494    0.0013   15.7   0.2   1   2   0.00013     0.082    9.8   0.1    22    70    55    99    48   119 0.86 | transcript=PVX_123825.1 | gene=PVX_123825 | organism=Plasmodium_vivax_Sal-1 | gene_product=50S ribosomal protein L24, putative | transcript_product=50S ribosomal protein L24, putative | location=Pv_Sal1_chr14:1823022-1823756(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123825.1-p1      -            244 4796at5820           -            494    0.0013   15.7   0.2   2   2    0.0076       4.7    4.0   0.0   172   209   161   201   152   208 0.82 | transcript=PVX_123825.1 | gene=PVX_123825 | organism=Plasmodium_vivax_Sal-1 | gene_product=50S ribosomal protein L24, putative | transcript_product=50S ribosomal protein L24, putative | location=Pv_Sal1_chr14:1823022-1823756(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4796at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4796at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4796at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:05 2026
# [ok]
