#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1   1  15         1   5.5e+03  -10.3  16.0   438   865    53   185    16   282 0.48 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1   2  15   1.4e-21   7.9e-18   62.1   4.7    10    93   295   385   284   391 0.85 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1   3  15   3.4e-19   1.9e-15   54.2   0.1   110   149   441   480   408   500 0.85 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1   4  15   1.3e-36   7.4e-33  111.8   0.3   154   237   534   620   520   623 0.92 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1   5  15   6.5e-76   3.6e-72  242.0  12.2   230   366   640   789   636   802 0.91 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1   6  15   1.4e-15   7.5e-12   42.3   3.8   364   405   841   882   832   890 0.87 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1   7  15         1   5.5e+03   -8.1  28.6   395   480   958  1046   948  1064 0.69 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1   8  15     8e-07    0.0044   13.3   1.6   407   476  1064  1134  1044  1160 0.77 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1   9  15   0.00034       1.9    4.6   0.2   497   534  1270  1307  1216  1321 0.69 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1  10  15   1.3e-15   7.3e-12   42.3  10.1   520   621  1453  1559  1428  1572 0.75 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1  11  15     3e-22   1.7e-18   64.3   5.8   616   724  1612  1718  1595  1725 0.74 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1  12  15     0.018     1e+02   -1.2   6.8   400   480  1756  1839  1743  1852 0.55 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1  13  15    0.0017       9.6    2.2   0.1   739   765  1941  1967  1921  1994 0.66 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1  14  15   5.5e-24     3e-20   70.1  15.8   772   908  2011  2215  1983  2224 0.77 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094965.1-p1      -           2419 682at5820            -           1021  3.6e-251  834.6 203.1  15  15   3.3e-66   1.8e-62  209.9   4.5   906  1021  2297  2414  2280  2414 0.93 | transcript=PVX_094965.1 | gene=PVX_094965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:695799-703058(-) | protein_length=2419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/682at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:45 2026
# [ok]
