#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001875.1-p1      -            735 3894at5820           -            478  3.4e-249  826.1  21.4   1   3   1.7e-17   1.2e-14   52.7   9.9     1    69     6    93     6    99 0.78 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001875.1-p1      -            735 3894at5820           -            478  3.4e-249  826.1  21.4   2   3   1.9e-06    0.0013   16.2   0.1    62    96   151   198   135   206 0.79 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001875.1-p1      -            735 3894at5820           -            478  3.4e-249  826.1  21.4   3   3  3.2e-232  2.2e-229  760.7   0.7    97   478   324   731   317   731 0.94 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085211.1-p1      -            610 3894at5820           -            478     2e-09   35.4  13.7   1   2   1.1e-11   7.8e-09   33.4  11.3    28   298    37   313    27   345 0.77 | transcript=PVX_085211.1 | gene=PVX_085211 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-associated protein, putative | transcript_product=dynein-associated protein, putative | location=Pv_Sal1_chr13:1016638-1018470(+) | protein_length=610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085211.1-p1      -            610 3894at5820           -            478     2e-09   35.4  13.7   2   2     0.042        29    1.9   0.0   419   459   464   503   451   515 0.80 | transcript=PVX_085211.1 | gene=PVX_085211 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-associated protein, putative | transcript_product=dynein-associated protein, putative | location=Pv_Sal1_chr13:1016638-1018470(+) | protein_length=610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 3894at5820           -            478   1.4e-06   26.0   8.3   1   4      0.15     1e+02    0.1   0.1   392   422   250   279   232   298 0.77 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 3894at5820           -            478   1.4e-06   26.0   8.3   2   4   7.1e-05     0.049   11.0   0.0   378   453   424   502   420   512 0.79 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 3894at5820           -            478   1.4e-06   26.0   8.3   3   4   3.4e-06    0.0023   15.4   1.6   385   431   516   562   506   591 0.74 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 3894at5820           -            478   1.4e-06   26.0   8.3   4   4     0.064        44    1.3   0.2   385   437   559   615   547   632 0.74 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 3894at5820           -            478   9.9e-06   23.2   5.0   1   3   0.00048      0.33    8.3   0.1   398   456    82   145    67   153 0.78 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 3894at5820           -            478   9.9e-06   23.2   5.0   2   3   1.2e-05    0.0081   13.6   0.1   380   454   151   230   143   240 0.81 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
