#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3   1  10  1.2e-122  6.9e-119  396.7  10.5     1   239    13   251    13   259 0.99 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3   2  10   2.1e-16   1.2e-12   45.1   0.2   240   277   283   320   277   325 0.91 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3   3  10   2.3e-97   1.3e-93  313.0  13.5   280   483   383   593   376   595 0.97 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3   4  10     0.069   3.8e+02   -2.9   0.0   482   499   623   640   621   645 0.85 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3   5  10   8.9e-23   4.9e-19   66.2   0.0   509   575   717   788   697   799 0.89 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3   6  10   8.4e-36   4.6e-32  109.3   0.5   576   655   841   923   835   927 0.95 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3   7  10   5.3e-06     0.029   10.7   0.0   654   679   949   974   942   980 0.91 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3   8  10   1.2e-13   6.5e-10   36.0   0.0   679   717  1003  1041   989  1049 0.92 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3   9  10   5.3e-10   2.9e-06   23.9   0.0   715   775  1072  1164  1068  1184 0.67 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119600.1-p1      -           1392 1314at5820           -            932         0 1163.7  43.3  10  10   4.7e-53   2.6e-49  166.4   0.0   784   931  1206  1382  1193  1383 0.83 | transcript=PVX_119600.1 | gene=PVX_119600 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1348835-1353317(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1314at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1314at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1314at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:53 2026
# [ok]
