#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2   1  10   6.3e-24   3.5e-20   69.9   0.3     1    51    10    60    10    63 0.96 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2   2  10    0.0071        39    0.3   0.0    50    62    95   107    93   117 0.90 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2   3  10   4.7e-66   2.6e-62  209.3   4.3    61   209   153   315   147   328 0.88 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2   4  10     4e-39   2.2e-35  120.2   0.0   215   290   418   493   405   497 0.92 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2   5  10   2.8e-11   1.6e-07   28.1   0.0   289   320   527   558   523   562 0.94 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2   6  10   2.6e-29   1.4e-25   87.7   0.7   321   376   610   665   601   674 0.94 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2   7  10   1.6e-22     9e-19   65.3   0.7   375   435   686   747   677   751 0.92 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2   8  10  1.1e-138  6.3e-135  449.6  11.4   436   732   864  1207   856  1217 0.87 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2   9  10   0.00064       3.6    3.7   0.0   727   748  1309  1330  1298  1343 0.86 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084590.1-p1      -           1540 1106at5820           -            898         0 1245.2  75.2  10  10     1e-72   5.7e-69  231.4  18.2   746   898  1362  1523  1348  1523 0.96 | transcript=PVX_084590.1 | gene=PVX_084590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:452113-456735(-) | protein_length=1540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
