#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101260.1-p1      -            302 9829at5820           -            272    2e-163  540.5  15.9   1   1  5.1e-166  3.1e-163  539.9  15.9     1   272     9   298     9   298 0.97 | transcript=PVX_101260.1 | gene=PVX_101260 | organism=Plasmodium_vivax_Sal-1 | gene_product=70 kDa peptidylprolyl isomerase, putative | transcript_product=70 kDa peptidylprolyl isomerase, putative | location=Pv_Sal1_chr14:2753964-2754872(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082640.1-p1      -            522 9829at5820           -            272   3.2e-17   61.1  18.3   1   3   5.3e-20   3.2e-17   61.1  18.3   117   271    20   188    14   190 0.80 | transcript=PVX_082640.1 | gene=PVX_082640 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone binding protein, putative | transcript_product=chaperone binding protein, putative | location=Pv_Sal1_chr12:782215-783783(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082640.1-p1      -            522 9829at5820           -            272   3.2e-17   61.1  18.3   2   3         7   4.3e+03   -4.9   4.7   132   155   307   333   262   380 0.68 | transcript=PVX_082640.1 | gene=PVX_082640 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone binding protein, putative | transcript_product=chaperone binding protein, putative | location=Pv_Sal1_chr12:782215-783783(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082640.1-p1      -            522 9829at5820           -            272   3.2e-17   61.1  18.3   3   3       1.2   7.5e+02   -2.4   1.2   141   192   353   406   328   427 0.60 | transcript=PVX_082640.1 | gene=PVX_082640 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone binding protein, putative | transcript_product=chaperone binding protein, putative | location=Pv_Sal1_chr12:782215-783783(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091240.1-p1      -            426 9829at5820           -            272   2.9e-11   41.5   8.0   1   2       1.9   1.2e+03   -3.1   0.2    19    51    25    61    13    72 0.48 | transcript=PVX_091240.1 | gene=PVX_091240 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr09:356810-358257(+) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091240.1-p1      -            426 9829at5820           -            272   2.9e-11   41.5   8.0   2   2   4.7e-14   2.9e-11   41.5   8.0   119   262   105   265    99   274 0.80 | transcript=PVX_091240.1 | gene=PVX_091240 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr09:356810-358257(+) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100995.1-p1      -            571 9829at5820           -            272   4.9e-09   34.2   9.4   1   1   1.6e-11   9.7e-09   33.3   9.4   132   250   397   514   387   527 0.92 | transcript=PVX_100995.1 | gene=PVX_100995 | organism=Plasmodium_vivax_Sal-1 | gene_product=TPR domain containing protein | transcript_product=TPR domain containing protein | location=Pv_Sal1_chr14:2571947-2573662(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 9829at5820           -            272   3.5e-07   28.1  48.6   1   4   4.9e-08     3e-05   21.8   0.4   133   253     6   121     2   125 0.87 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 9829at5820           -            272   3.5e-07   28.1  48.6   2   4       2.3   1.4e+03   -3.4   7.9   154   209   120   174   102   231 0.71 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 9829at5820           -            272   3.5e-07   28.1  48.6   3   4     0.018        11    3.6  14.5   130   249   235   354   220   362 0.64 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 9829at5820           -            272   3.5e-07   28.1  48.6   4   4   1.3e-06   0.00079   17.2  10.6   124   256   366   491   347   502 0.77 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
