#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6   1  12   1.8e-55     1e-51  174.5  17.6     1   123     1   126     1   136 0.93 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6   2  12   7.1e-22   3.9e-18   63.3   0.0   121   169   155   203   149   207 0.94 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6   3  12   1.4e-54   7.8e-51  171.5   0.0   171   296   262   389   257   402 0.95 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6   4  12    0.0043        24    1.2   0.0   297   316   435   454   428   460 0.90 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6   5  12     9e-36     5e-32  109.3   0.9   332   437   607   724   593   731 0.88 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6   6  12   1.5e-07   0.00081   16.0   0.0   437   473   750   788   749   800 0.87 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6   7  12   0.00077       4.3    3.6   0.0   481   502   855   876   852   882 0.92 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6   8  12   2.1e-36   1.1e-32  111.4   0.0   504   626   984  1120   978  1126 0.86 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6   9  12   6.2e-37   3.4e-33  113.1   0.0   622   699  1140  1217  1136  1221 0.95 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6  10  12   7.6e-33   4.2e-29   99.6   0.0   701   780  1257  1346  1249  1352 0.90 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6  11  12   6.2e-17   3.4e-13   47.0   0.0   781   833  1414  1468  1408  1486 0.90 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001890.1-p1      -           1564 2368at5820           -            875    1e-292  971.8  25.6  12  12   1.9e-17   1.1e-13   48.6   0.4   833   875  1508  1551  1505  1551 0.93 | transcript=PVX_001890.1 | gene=PVX_001890 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:225437-230417(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2368at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2368at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2368at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:23 2026
# [ok]
