#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7   1  30   2.1e-21   1.2e-17   60.3   0.0     1    60    13    84    13    99 0.86 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7   2  30     9e-18     5e-14   48.3   0.0    61   107   128   174   126   182 0.88 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7   3  30   1.1e-28   6.1e-25   84.5   0.0   102   172   204   274   197   288 0.91 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7   4  30   2.3e-66   1.3e-62  209.5   1.8   174   299   368   496   357   505 0.93 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7   5  30   3.5e-45   1.9e-41  139.2   0.1   301   383   525   607   513   613 0.95 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7   6  30   8.4e-39   4.6e-35  118.1   0.0   387   484   687   807   682   812 0.80 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7   7  30  1.1e-105  5.8e-102  340.0   0.1   483   719   905  1181   902  1185 0.90 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7   8  30   1.6e-21   8.9e-18   60.7   0.1   735   799  1253  1317  1227  1319 0.87 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7   9  30   3.4e-25   1.9e-21   72.9   0.2   795   886  1358  1478  1355  1483 0.78 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7  10  30   1.7e-33   9.3e-30  100.5   0.2   900   991  1544  1656  1541  1661 0.81 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7  11  30   1.2e-40   6.5e-37  124.2   0.0   990  1104  1686  1820  1677  1826 0.78 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7  12  30   1.5e-40   8.2e-37  123.9   0.0  1106  1214  1861  1980  1853  1983 0.88 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093535.1-p1      -           5112 123at5820            -           2857         0 3684.7 175.7  13  30   9.1e-97     5e-93  310.4  15.2  1215  1389  2020  2198  2018  2204 0.95 | transcript=PVX_093535.1 | gene=PVX_093535 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:604553-620044(-) | protein_length=5112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
