#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085355.1-p1      -            520 6148at5820           -            431  1.5e-263  872.5  48.6   1   2  1.2e-231  5.2e-229  758.7  37.5     1   344     1   344     1   355 0.99 | transcript=PVX_085355.1 | gene=PVX_085355 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=Pv_Sal1_chr13:1127828-1130131(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085355.1-p1      -            520 6148at5820           -            431  1.5e-263  872.5  48.6   2   2   9.5e-38     4e-35  119.8   3.2   348   431   423   518   415   518 0.90 | transcript=PVX_085355.1 | gene=PVX_085355 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=Pv_Sal1_chr13:1127828-1130131(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094410.1-p1      -           1159 6148at5820           -            431   6.2e-08   30.2   0.9   1   1   2.1e-10   9.1e-08   29.6   0.9   283   351   354   428   313   441 0.83 | transcript=PVX_094410.1 | gene=PVX_094410 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:228823-232302(-) | protein_length=1159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094560.1-p1      -            615 6148at5820           -            431   2.3e-07   28.3   4.2   1   1     2e-09   8.5e-07   26.4   4.2   283   340   553   613   542   615 0.79 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 6148at5820           -            431   1.7e-06   25.4   1.2   1   2       2.5   1.1e+03   -3.6   3.8    34   193   159   186   122   202 0.61 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 6148at5820           -            431   1.7e-06   25.4   1.2   2   2     4e-09   1.7e-06   25.4   1.2   296   340   234   280   220   284 0.81 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111310.1-p1      -            272 6148at5820           -            431   2.3e-06   25.0   2.5   1   3       2.4     1e+03   -3.5   0.5   151   187    17    55     8    61 0.59 | transcript=PVX_111310.1 | gene=PVX_111310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:564668-565486(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111310.1-p1      -            272 6148at5820           -            431   2.3e-06   25.0   2.5   2   3       1.2   4.9e+02   -2.4   5.5    18    82    93   163    85   182 0.61 | transcript=PVX_111310.1 | gene=PVX_111310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:564668-565486(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111310.1-p1      -            272 6148at5820           -            431   2.3e-06   25.0   2.5   3   3   5.3e-09   2.3e-06   25.0   2.5   291   340   211   263   190   269 0.83 | transcript=PVX_111310.1 | gene=PVX_111310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:564668-565486(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113525.1-p1      -            403 6148at5820           -            431   3.1e-06   24.6   1.3   1   2      0.91   3.9e+02   -2.1   3.0   133   235    13   118    11   137 0.54 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113525.1-p1      -            403 6148at5820           -            431   3.1e-06   24.6   1.3   2   2   7.3e-09   3.1e-06   24.6   1.3   297   342   345   394   331   399 0.72 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
