#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083175.1-p1      -            262 10347at5820          -            202  1.8e-120  398.6   7.9   1   2      0.77   2.9e+02   -0.4   0.0     5    42    20    58    16    74 0.70 | transcript=PVX_083175.1 | gene=PVX_083175 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr12:345578-346366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083175.1-p1      -            262 10347at5820          -            202  1.8e-120  398.6   7.9   2   2    5e-123  1.8e-120  398.6   7.9    19   202    74   262    64   262 0.96 | transcript=PVX_083175.1 | gene=PVX_083175 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr12:345578-346366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085810.1-p1      -            301 10347at5820          -            202   8.9e-36  122.1   1.1   1   1   4.1e-38   1.5e-35  121.3   1.1    32   201   131   300   104   301 0.84 | transcript=PVX_085810.1 | gene=PVX_085810 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr13:1532203-1534379(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084235.1-p1      -            147 10347at5820          -            202   1.3e-21   75.8   0.2   1   1     4e-24   1.5e-21   75.6   0.2    61   170     4   112     1   134 0.94 | transcript=PVX_084235.1 | gene=PVX_084235 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 4, putative | transcript_product=ubiquitin-conjugating enzyme E2 4, putative | location=Pv_Sal1_chr13:113858-115469(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079885.1-p1      -            152 10347at5820          -            202   3.5e-17   61.3   0.0   1   1   1.2e-19   4.4e-17   61.0   0.0    62   181     6   123     3   144 0.91 | transcript=PVX_079885.1 | gene=PVX_079885 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 N, putative | transcript_product=ubiquitin-conjugating enzyme E2 N, putative | location=Pv_Sal1_chr10:178944-180024(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095270.1-p1      -            160 10347at5820          -            202   5.2e-14   51.0   0.3   1   1   1.9e-16     7e-14   50.6   0.3    62   169     8   114     3   121 0.84 | transcript=PVX_095270.1 | gene=PVX_095270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:949943-950560(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114795.1-p1      -            202 10347at5820          -            202   1.1e-13   49.9   0.1   1   1   4.5e-16   1.7e-13   49.3   0.1    61   170    12   121     5   141 0.92 | transcript=PVX_114795.1 | gene=PVX_114795 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr11:627425-629176(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123140.1-p1      -            164 10347at5820          -            202   1.5e-12   46.2   0.0   1   1     5e-15   1.8e-12   45.9   0.0    85   170    31   115     3   122 0.88 | transcript=PVX_123140.1 | gene=PVX_123140 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:1164251-1165050(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099465.1-p1      -            163 10347at5820          -            202   1.3e-09   36.6   0.1   1   1   1.1e-11   4.2e-09   35.0   0.1    83   170    30   130    20   146 0.83 | transcript=PVX_099465.1 | gene=PVX_099465 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr07:792693-794050(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099185.1-p1      -            159 10347at5820          -            202   4.3e-09   34.9   0.0   1   1   1.3e-11   4.9e-09   34.8   0.0    86   169    37   121     4   127 0.89 | transcript=PVX_099185.1 | gene=PVX_099185 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=Pv_Sal1_chr07:572412-573302(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113480.1-p1      -            152 10347at5820          -            202   8.7e-07   27.4   0.0   1   1   2.9e-09   1.1e-06   27.1   0.0    79   168    22   111     4   124 0.86 | transcript=PVX_113480.1 | gene=PVX_113480 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 I, putative | transcript_product=ubiquitin-conjugating enzyme E2 I, putative | location=Pv_Sal1_chr11:1772616-1773916(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
