#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4   1  15   0.00048      0.88    5.1   0.5     2    37    23    59    22    94 0.68 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4   2  15      0.54     1e+03   -5.1  25.8    20   126    96   200    86   229 0.64 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4   3  15   2.7e-34     5e-31  105.3  68.5    36   140   231   340   183   362 0.77 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4   4  15   1.9e-44   3.5e-41  139.0  33.0   134   250   361   486   345   502 0.83 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4   5  15   2.8e-12   5.2e-09   32.4  17.0   238   304   512   585   502   590 0.79 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4   6  15         3   5.5e+03  -21.5  43.0    38   109   580   651   573   667 0.65 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4   7  15      0.15   2.8e+02   -3.2  22.5    24    91   687   763   671   766 0.56 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4   8  15  2.6e-112  4.7e-109  364.0  37.0   317   529   764   980   762   988 0.96 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4   9  15   4.1e-27   7.6e-24   81.5   2.0   542   596  1062  1116  1052  1129 0.92 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4  10  15   1.7e-71   3.1e-68  228.7   2.1   593   712  1152  1272  1148  1275 0.96 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086120.1-p1      -           2637 951at5820            -           1755         0 2771.2 468.4  11  15  1.9e-121  3.5e-118  394.3  34.7   711   959  1303  1549  1298  1553 0.90 | transcript=PVX_086120.1 | gene=PVX_086120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1842997-1850910(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
