#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084135.1-p1      -            323 8101at5820           -            292  3.5e-194  641.9  13.3   1   1  2.8e-196  2.2e-193  639.2  13.3     1   292    14   323    14   323 0.96 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 8101at5820           -            292   2.5e-11   41.7   0.2   1   2   2.3e-05     0.018   12.6   0.0    26    98    41   116    16   123 0.76 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 8101at5820           -            292   2.5e-11   41.7   0.2   2   2   7.4e-10   5.9e-07   27.3   0.1    12   151   123   262   115   271 0.84 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 8101at5820           -            292   2.7e-09   35.0   1.8   1   3     4e-09   3.2e-06   24.9   0.0    17   140    11   142     3   149 0.82 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 8101at5820           -            292   2.7e-09   35.0   1.8   2   3   2.6e-05     0.021   12.4   0.3    19   141   118   240   109   255 0.75 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 8101at5820           -            292   2.7e-09   35.0   1.8   3   3      0.92   7.2e+02   -2.5   0.0    51    73   254   276   245   295 0.72 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 8101at5820           -            292   4.3e-09   34.3   1.6   1   2   5.8e-09   4.6e-06   24.4   0.0    17   139    11   141     3   148 0.82 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 8101at5820           -            292   4.3e-09   34.3   1.6   2   2   2.8e-05     0.022   12.3   0.3    18   141   117   240   106   257 0.75 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 8101at5820           -            292   5.5e-09   34.0   7.1   1   1   6.2e-11   4.9e-08   30.9   7.1    58   260    33   239     5   255 0.75 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 8101at5820           -            292   4.5e-07   27.7   1.3   1   3      0.16   1.2e+02    0.0   0.0    20    47    38    65    15    73 0.73 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 8101at5820           -            292   4.5e-07   27.7   1.3   2   3   6.6e-06    0.0052   14.4   0.2    20   103   751   831   739   840 0.82 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
