#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099685.1-p1      -            507 6564at5820           -            370  5.2e-230  761.0  24.6   1   2   2.2e-14   1.4e-11   42.3  10.8     6    62    81   149    76   162 0.82 | transcript=PVX_099685.1 | gene=PVX_099685 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=Pv_Sal1_chr07:964361-966052(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099685.1-p1      -            507 6564at5820           -            370  5.2e-230  761.0  24.6   2   2  1.1e-222  6.8e-220  727.7   2.1    43   370   180   507   152   507 0.95 | transcript=PVX_099685.1 | gene=PVX_099685 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=Pv_Sal1_chr07:964361-966052(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099825.1-p1      -            307 6564at5820           -            370  1.1e-115  384.9   2.5   1   1  2.3e-118  1.4e-115  384.5   2.5    66   351     7   286     3   297 0.97 | transcript=PVX_099825.1 | gene=PVX_099825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=Pv_Sal1_chr07:1067165-1068088(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119815.1-p1      -            308 6564at5820           -            370  9.1e-106  352.2   1.0   1   1  1.8e-108  1.1e-105  351.9   1.0    67   369     8   307     4   308 0.94 | transcript=PVX_119815.1 | gene=PVX_119815 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=Pv_Sal1_chr08:1182495-1183421(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085730.1-p1      -            304 6564at5820           -            370     5e-91  303.7   1.1   1   1   9.9e-94   6.1e-91  303.4   1.1    77   347    27   291     2   302 0.93 | transcript=PVX_085730.1 | gene=PVX_085730 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=Pv_Sal1_chr13:1469870-1472025(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093605.1-p1      -            564 6564at5820           -            370   7.5e-67  224.1   0.6   1   1   1.8e-69   1.1e-66  223.6   0.6    86   340    61   324    45   340 0.88 | transcript=PVX_093605.1 | gene=PVX_093605 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=Pv_Sal1_chr01:672200-674439(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 6564at5820           -            370   7.7e-63  210.9   1.8   1   1   3.5e-65   2.2e-62  209.5   1.8    82   339   541   827   505   833 0.85 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 6564at5820           -            370   1.4e-62  210.1   1.0   1   2       0.1        62    0.6   0.2    14    71   152   210   142   221 0.83 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 6564at5820           -            370   1.4e-62  210.1   1.0   2   2   2.3e-65   1.4e-62  210.1   1.0    17   336   341   656   324   683 0.86 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 6564at5820           -            370     2e-44  150.3   0.1   1   2   6.7e-09   4.1e-06   24.3   0.0    80   130  1131  1181  1110  1203 0.90 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 6564at5820           -            370     2e-44  150.3   0.1   2   2   8.9e-39   5.5e-36  122.6   0.0   131   336  1252  1499  1248  1514 0.79 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 6564at5820           -            370   8.6e-44  148.3   2.1   1   1   3.9e-46   2.4e-43  146.8   2.1    88   338   222   476   143   503 0.82 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6564at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6564at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6564at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:31 2026
# [ok]
