#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089295.1-p1      -            809 3774at5820           -            638         0 1190.5  34.0   1   5   5.6e-25   3.9e-22   76.6   1.7     1    49     1    49     1    53 0.97 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 3774at5820           -            638         0 1190.5  34.0   2   5   3.7e-94   2.5e-91  305.2   1.8    50   206    74   232    66   236 0.97 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 3774at5820           -            638         0 1190.5  34.0   3   5   3.5e-19   2.4e-16   57.5   0.2   207   244   273   310   271   319 0.93 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 3774at5820           -            638         0 1190.5  34.0   4   5  7.9e-154  5.5e-151  502.3   1.1   245   482   347   584   331   587 0.99 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 3774at5820           -            638         0 1190.5  34.0   5   5   4.5e-83   3.1e-80  268.6   2.4   481   634   622   787   619   794 0.93 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 3774at5820           -            638  6.3e-143  475.7   7.1   1   2   3.6e-64   2.5e-61  206.1   0.5     3   233   558   793   556   798 0.93 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 3774at5820           -            638  6.3e-143  475.7   7.1   2   2   2.2e-84   1.5e-81  272.9   1.2   263   632   803  1175   800  1178 0.93 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 3774at5820           -            638  4.3e-135  449.8  16.9   1   2   3.8e-62   2.6e-59  199.4   2.4     3   236   431   674   429   682 0.92 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 3774at5820           -            638  4.3e-135  449.8  16.9   2   2   3.9e-79   2.7e-76  255.6   6.8   257   631   743  1115   730  1122 0.91 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 3774at5820           -            638  9.5e-132  438.8   3.2   1   2     2e-68   1.4e-65  220.2   1.9     2   234   187   421   186   433 0.90 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 3774at5820           -            638  9.5e-132  438.8   3.2   2   2   6.1e-68   4.2e-65  218.6   0.0   263   633   431   814   424   819 0.89 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 3774at5820           -            638  1.4e-103  345.7  25.9   1   3   9.2e-60   6.4e-57  191.6   5.5     2   231   406   640   405   643 0.94 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 3774at5820           -            638  1.4e-103  345.7  25.9   2   3    0.0034       2.3    4.7   0.0   258   285   646   673   641   678 0.87 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 3774at5820           -            638  1.4e-103  345.7  25.9   3   3   6.6e-49   4.6e-46  155.7  10.5   285   630   726  1081   721  1089 0.82 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 3774at5820           -            638   2.2e-60  203.0  26.9   1   3   7.4e-42   5.1e-39  132.4   7.4     3   227   433   675   430   687 0.84 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 3774at5820           -            638   2.2e-60  203.0  26.9   2   3   6.9e-25   4.7e-22   76.4   2.7   262   422   925  1102   919  1120 0.88 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 3774at5820           -            638   2.2e-60  203.0  26.9   3   3     0.003       2.1    4.8   1.6   502   548  1310  1356  1300  1364 0.89 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 3774at5820           -            638   1.3e-38  131.1  19.1   1   3   6.8e-29   4.7e-26   89.6   5.7     2   190   417   620   416   623 0.83 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 3774at5820           -            638   1.3e-38  131.1  19.1   2   3   2.4e-16   1.7e-13   48.1   0.1   284   392   799   908   772   916 0.86 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 3774at5820           -            638   1.3e-38  131.1  19.1   3   3     0.075        52    0.2   2.5   401   480   976  1058   969  1174 0.76 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 3774at5820           -            638   1.2e-28   98.1  23.5   1   2   2.2e-10   1.5e-07   28.4   0.4    94   167   108   181   103   192 0.85 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 3774at5820           -            638   1.2e-28   98.1  23.5   2   2   5.8e-24     4e-21   73.3  17.0   302   631   575   908   553   915 0.81 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3774at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3774at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3774at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:38 2026
# [ok]
