#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099575.1-p1      -            783 3000at5820           -            638         0 1323.0  25.7   1   1         0         0 1322.6  25.7    25   638   156   783   130   783 0.96 | transcript=PVX_099575.1 | gene=PVX_099575 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=Pv_Sal1_chr07:886026-888377(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000810.1-p1      -            843 3000at5820           -            638   2.9e-85  285.3  11.1   1   2     0.091     1e+02   -0.7   0.1   100   135    50    85    37   101 0.77 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000810.1-p1      -            843 3000at5820           -            638   2.9e-85  285.3  11.1   2   2   2.6e-88   2.9e-85  285.3  11.1    57   552   241   744   220   757 0.90 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 3000at5820           -            638   2.3e-61  206.3  22.7   1   2   1.3e-10   1.4e-07   28.6   0.4    61   112   466   516   447   525 0.79 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 3000at5820           -            638   2.3e-61  206.3  22.7   2   2     1e-56   1.1e-53  180.9  16.4   117   615   554  1067   547  1081 0.80 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 3000at5820           -            638   3.2e-25   86.9  11.7   1   2   3.1e-27   3.5e-24   83.5  10.5    62   552    47   572    21   592 0.74 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 3000at5820           -            638   3.2e-25   86.9  11.7   2   2      0.19   2.1e+02   -1.7   0.0   489   516   595   621   574   659 0.60 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 3000at5820           -            638   1.5e-21   74.7  11.4   1   3   3.1e-14   3.4e-11   40.5   1.4    63   276    66   263    63   288 0.85 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 3000at5820           -            638   1.5e-21   74.7  11.4   2   3   4.2e-11   4.7e-08   30.2   0.3   329   575   364   624   360   633 0.79 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 3000at5820           -            638   1.5e-21   74.7  11.4   3   3    0.0026       2.8    4.5   0.1   426   478   638   690   632   698 0.73 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
