#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099005.1-p1      -           3274 150at5820            -           2276         0 3449.1 298.7   1   7  1.4e-143  2.6e-140  467.8  62.3    13   536   135   888   132   890 0.77 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 150at5820            -           2276         0 3449.1 298.7   2   7   8.7e-26   1.6e-22   77.1   2.3   536   631   940  1057   930  1061 0.77 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 150at5820            -           2276         0 3449.1 298.7   3   7    4e-301  7.4e-298  990.3  82.1   631  1231  1135  1783  1131  1835 0.91 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 150at5820            -           2276         0 3449.1 298.7   4   7   2.7e-46   4.9e-43  145.1   3.5  1222  1325  1837  1950  1825  1955 0.91 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 150at5820            -           2276         0 3449.1 298.7   5   7         0         0 1450.1  64.2  1323  2027  2067  2781  2061  2797 0.98 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 150at5820            -           2276         0 3449.1 298.7   6   7   6.7e-56   1.2e-52  177.0  17.8  2030  2148  2922  3042  2883  3066 0.89 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 150at5820            -           2276         0 3449.1 298.7   7   7     4e-51   7.3e-48  161.1  19.3  2148  2276  3093  3232  3059  3232 0.88 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 150at5820            -           2276  1.7e-256  853.2 183.3   1   4       1.1   2.1e+03   -6.2   4.4   243   316   249   334   242   362 0.63 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 150at5820            -           2276  1.7e-256  853.2 183.3   2   4         3   5.5e+03  -14.1  15.4   474   696   540   772   526   781 0.66 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 150at5820            -           2276  1.7e-256  853.2 183.3   3   4   2.8e-99   5.2e-96  320.8  91.0   634  1296   792  1502   784  1513 0.85 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 150at5820            -           2276  1.7e-256  853.2 183.3   4   4  5.5e-168    1e-164  548.8  84.3  1353  2236  1517  2414  1504  2460 0.86 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 150at5820            -           2276   2.7e-63  212.3 218.7   1   7     1e-32   1.8e-29  100.1  69.7   596  1171   608  1200   567  1207 0.74 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 150at5820            -           2276   2.7e-63  212.3 218.7   2   7     6e-17   1.1e-13   47.8  17.2  1156  1279  1574  1695  1544  1706 0.82 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 150at5820            -           2276   2.7e-63  212.3 218.7   3   7   0.00025      0.47    5.9   0.6  1061  1119  1835  1896  1828  1902 0.57 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 150at5820            -           2276   2.7e-63  212.3 218.7   4   7   7.9e-15   1.5e-11   40.7   7.4  1390  1489  1921  2025  1916  2032 0.87 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 150at5820            -           2276   2.7e-63  212.3 218.7   5   7   1.4e-13   2.6e-10   36.6  22.9  1504  1689  2141  2332  2129  2354 0.91 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 150at5820            -           2276   2.7e-63  212.3 218.7   6   7   2.5e-09   4.6e-06   22.5  35.9  1718  1948  2491  2726  2471  2750 0.83 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
