#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084855.1-p1      -           1502 1006at5820           -           1212         0 2659.1  64.6   1   3  3.4e-164  6.3e-161  535.8   6.3     1   247     5   261     5   265 0.97 | transcript=PVX_084855.1 | gene=PVX_084855 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA topoisomerase II, putative | transcript_product=DNA topoisomerase II, putative | location=Pv_Sal1_chr13:715419-720603(+) | protein_length=1502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084855.1-p1      -           1502 1006at5820           -           1212         0 2659.1  64.6   2   3         0         0 2095.0  43.7   245  1167   329  1274   324  1286 0.98 | transcript=PVX_084855.1 | gene=PVX_084855 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA topoisomerase II, putative | transcript_product=DNA topoisomerase II, putative | location=Pv_Sal1_chr13:715419-720603(+) | protein_length=1502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084855.1-p1      -           1502 1006at5820           -           1212         0 2659.1  64.6   3   3     4e-14   7.3e-11   38.7   0.5  1168  1207  1404  1445  1350  1448 0.91 | transcript=PVX_084855.1 | gene=PVX_084855 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA topoisomerase II, putative | transcript_product=DNA topoisomerase II, putative | location=Pv_Sal1_chr13:715419-720603(+) | protein_length=1502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100925.1-p1      -            993 1006at5820           -           1212   9.6e-20   68.1  13.1   1   3   0.00012      0.23    7.3   0.2    47   127   135   212   124   227 0.72 | transcript=PVX_100925.1 | gene=PVX_100925 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA gyrase subunit B, putative | transcript_product=DNA gyrase subunit B, putative | location=Pv_Sal1_chr14:2493917-2496898(+) | protein_length=993 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100925.1-p1      -            993 1006at5820           -           1212   9.6e-20   68.1  13.1   2   3   1.7e-16   3.1e-13   46.6   4.5   240   493   447   705   440   721 0.80 | transcript=PVX_100925.1 | gene=PVX_100925 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA gyrase subunit B, putative | transcript_product=DNA gyrase subunit B, putative | location=Pv_Sal1_chr14:2493917-2496898(+) | protein_length=993 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100925.1-p1      -            993 1006at5820           -           1212   9.6e-20   68.1  13.1   3   3   4.3e-08   7.9e-05   18.7   0.1   493   531   748   786   732   820 0.81 | transcript=PVX_100925.1 | gene=PVX_100925 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA gyrase subunit B, putative | transcript_product=DNA gyrase subunit B, putative | location=Pv_Sal1_chr14:2493917-2496898(+) | protein_length=993 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123795.1-p1      -           1271 1006at5820           -           1212   8.2e-16   55.1   2.1   1   3   4.4e-19   8.2e-16   55.1   2.1   643   827   160   345   147   359 0.84 | transcript=PVX_123795.1 | gene=PVX_123795 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA gyrase subunit A, putative | transcript_product=DNA gyrase subunit A, putative | location=Pv_Sal1_chr14:1784156-1787971(-) | protein_length=1271 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123795.1-p1      -           1271 1006at5820           -           1212   8.2e-16   55.1   2.1   2   3         3   5.5e+03   -9.8  11.1   872  1000   432   564   422   605 0.69 | transcript=PVX_123795.1 | gene=PVX_123795 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA gyrase subunit A, putative | transcript_product=DNA gyrase subunit A, putative | location=Pv_Sal1_chr14:1784156-1787971(-) | protein_length=1271 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123795.1-p1      -           1271 1006at5820           -           1212   8.2e-16   55.1   2.1   3   3      0.84   1.5e+03   -5.4   2.7   987  1020  1006  1040  1000  1048 0.70 | transcript=PVX_123795.1 | gene=PVX_123795 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA gyrase subunit A, putative | transcript_product=DNA gyrase subunit A, putative | location=Pv_Sal1_chr14:1784156-1787971(-) | protein_length=1271 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1006at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1006at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1006at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:34 2026
# [ok]
