#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4   1  11  2.3e-224  1.3e-220  733.7  38.4     2   449    18   499    17   532 0.94 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4   2  11     0.017        91   -2.6   0.0   453   477   551   578   535   595 0.75 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4   3  11         0         0 1538.7 123.3   443  1484   849  2026   842  2031 0.91 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4   4  11   5.9e-48   3.3e-44  148.2  18.4  1487  1631  2085  2242  2038  2247 0.83 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4   5  11         0         0 1384.4 118.3  1627  2488  2266  3223  2260  3233 0.92 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4   6  11   1.1e-51   6.1e-48  160.6  12.2  2481  2625  3418  3595  3377  3624 0.74 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4   7  11   5.7e-60   3.2e-56  188.1  18.9  2609  2768  3700  3864  3689  3867 0.88 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4   8  11   6.4e-11   3.5e-07   25.3   0.1  2766  2809  3929  3984  3924  3988 0.85 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4   9  11  1.6e-307  8.8e-304 1009.7  68.3  2807  3332  4064  4603  4052  4612 0.96 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4  10  11    5e-170  2.8e-166  553.4  42.0  3341  3650  4743  5059  4739  5068 0.97 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091300.1-p1      -           5602 56at5820             -           3908         0 6192.2 539.4  11  11    4e-155  2.2e-151  503.9  29.4  3623  3908  5317  5600  5293  5600 0.94 | transcript=PVX_091300.1 | gene=PVX_091300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:396209-414129(+) | protein_length=5602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
