#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118575.1-p1      -           1933 1418at5820           -            872         0 1178.5 184.8   1   8   3.5e-31   9.6e-28   95.1   7.8     1    78     1    79     1   145 0.80 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 1418at5820           -            872         0 1178.5 184.8   2   8      0.11   3.1e+02   -2.5  12.4    59   161   209   316   197   329 0.63 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 1418at5820           -            872         0 1178.5 184.8   3   8     6e-09   1.7e-05   21.5  20.0   101   186   358   465   322   566 0.57 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 1418at5820           -            872         0 1178.5 184.8   4   8   6.9e-11   1.9e-07   27.9   0.3   182   217   598   633   591   668 0.84 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 1418at5820           -            872         0 1178.5 184.8   5   8   2.2e-09     6e-06   23.0  17.3   155   260   790   890   724   924 0.73 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 1418at5820           -            872         0 1178.5 184.8   6   8     0.032        88   -0.8   1.6   259   300   992  1033   946  1045 0.79 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 1418at5820           -            872         0 1178.5 184.8   7   8   5.1e-22   1.4e-18   64.7  24.7   292   386  1167  1279  1055  1289 0.69 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 1418at5820           -            872         0 1178.5 184.8   8   8  1.6e-300  4.6e-297  986.1  47.8   353   872  1401  1933  1369  1933 0.91 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114725.1-p1      -            661 1418at5820           -            872   1.6e-13   48.0   0.5   1   2   5.9e-17   1.6e-13   48.0   0.5   407   545   352   496   338   512 0.84 | transcript=PVX_114725.1 | gene=PVX_114725 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 1, putative | transcript_product=metacaspase 1, putative | location=Pv_Sal1_chr11:687049-689034(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114725.1-p1      -            661 1418at5820           -            872   1.6e-13   48.0   0.5   2   2     0.018        50    0.1   2.8   286   358   584   654   576   660 0.68 | transcript=PVX_114725.1 | gene=PVX_114725 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 1, putative | transcript_product=metacaspase 1, putative | location=Pv_Sal1_chr11:687049-689034(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1418at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1418at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1418at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:45 2026
# [ok]
