#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002575.1-p1      -            945 3492at5820           -            673         0 1381.9  49.9   1   4   5.3e-11   5.9e-08   29.9   4.0     2    36     2    38     1    48 0.85 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002575.1-p1      -            945 3492at5820           -            673         0 1381.9  49.9   2   4      0.12   1.3e+02   -1.0   0.1    33    45    99   111    74   114 0.82 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002575.1-p1      -            945 3492at5820           -            673         0 1381.9  49.9   3   4   1.4e-59   1.6e-56  190.4   0.5    42   142   224   324   194   326 0.95 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002575.1-p1      -            945 3492at5820           -            673         0 1381.9  49.9   4   4         0         0 1174.7  27.2   138   672   390   930   387   931 0.99 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 3492at5820           -            673   1.8e-22   77.8   5.7   1   2   1.7e-25   1.8e-22   77.8   5.7   143   370   261   496   206   499 0.82 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 3492at5820           -            673   1.8e-22   77.8   5.7   2   2         5   5.5e+03  -11.5  11.6   432   524   617   701   558   744 0.51 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117300.1-p1      -            344 3492at5820           -            673   1.7e-19   68.0   1.9   1   2   0.00022      0.25    8.0   0.1   144   170    15    41     4    46 0.86 | transcript=PVX_117300.1 | gene=PVX_117300 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C3, putative | transcript_product=replication factor C3, putative | location=Pv_Sal1_chr12:1741770-1743238(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117300.1-p1      -            344 3492at5820           -            673   1.7e-19   68.0   1.9   2   2   6.2e-20   6.9e-17   59.4   0.4   202   376    50   226    45   233 0.81 | transcript=PVX_117300.1 | gene=PVX_117300 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C3, putative | transcript_product=replication factor C3, putative | location=Pv_Sal1_chr12:1741770-1743238(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100985.1-p1      -            336 3492at5820           -            673     4e-18   63.5   4.1   1   2   1.6e-05     0.017   11.8   0.1   132   170     6    44     1    49 0.77 | transcript=PVX_100985.1 | gene=PVX_100985 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=Pv_Sal1_chr14:2565421-2566781(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100985.1-p1      -            336 3492at5820           -            673     4e-18   63.5   4.1   2   2   5.8e-18   6.4e-15   52.9   2.1   188   372    39   219    36   237 0.80 | transcript=PVX_100985.1 | gene=PVX_100985 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=Pv_Sal1_chr14:2565421-2566781(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002640.1-p1      -            330 3492at5820           -            673     8e-15   52.6   4.7   1   2   1.7e-05     0.019   11.7   0.1   141   169     3    31     1    37 0.86 | transcript=PVX_002640.1 | gene=PVX_002640 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=Pv_Sal1_chr04:155279-156271(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
