#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092140.1-p1      -           1613 1267at5820           -           1206         0 2008.5 165.9   1   6   1.5e-08   2.8e-05   20.3   0.2     1    32    39    71    39    85 0.84 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1267at5820           -           1206         0 2008.5 165.9   2   6  3.8e-209  6.9e-206  684.8  41.8    29   424   199   609   191   618 0.95 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1267at5820           -           1206         0 2008.5 165.9   3   6   2.5e-94   4.7e-91  304.4  25.4   418   626   646   874   644   877 0.93 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1267at5820           -           1206         0 2008.5 165.9   4   6  4.6e-116  8.5e-113  376.4  45.2   626   909   914  1217   908  1220 0.93 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1267at5820           -           1206         0 2008.5 165.9   5   6   4.7e-29   8.6e-26   88.2   9.9   838   940  1183  1290  1178  1295 0.84 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1267at5820           -           1206         0 2008.5 165.9   6   6  3.3e-171    6e-168  559.1  15.2   949  1205  1355  1611  1353  1612 0.99 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1267at5820           -           1206   2.1e-37  126.7  14.6   1   7   6.7e-21   1.2e-17   61.2   0.1    31   133    31   136    13   150 0.77 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1267at5820           -           1206   2.1e-37  126.7  14.6   2   7         3   5.5e+03  -13.1  41.5   156   477   187   492   177   492 0.65 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1267at5820           -           1206   2.1e-37  126.7  14.6   3   7         3   5.5e+03  -25.5  45.2   758  1010   310   573   296   610 0.50 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1267at5820           -           1206   2.1e-37  126.7  14.6   4   7       0.4   7.3e+02   -4.3   0.0   649   677   702   729   699   747 0.77 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1267at5820           -           1206   2.1e-37  126.7  14.6   5   7     0.065   1.2e+02   -1.7   4.4   861   917   806   863   799   880 0.78 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
