#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099315.1-p1      -            652 3789at5820           -            599         0 1331.6  21.7   1   1         0         0 1331.4  21.7     1   599    33   652    33   652 0.98 | transcript=PVX_099315.1 | gene=PVX_099315 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=Pv_Sal1_chr07:670460-672876(+) | protein_length=652 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089425.1-p1      -            690 3789at5820           -            599  9.2e-232  768.9   8.3   1   1    1e-234  1.1e-231  768.6   8.3     1   591    20   628    20   632 0.94 | transcript=PVX_089425.1 | gene=PVX_089425 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock 70 kDa protein, putative | transcript_product=heat shock 70 kDa protein, putative | location=Pv_Sal1_chr05:541285-543357(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092310.1-p1      -            663 3789at5820           -            599    1e-182  606.9  17.4   1   1  1.2e-185  1.3e-182  606.6  17.4     1   587    46   637    46   647 0.92 | transcript=PVX_092310.1 | gene=PVX_092310 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=Pv_Sal1_chr09:1253849-1255840(+) | protein_length=663 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087970.1-p1      -            887 3789at5820           -            599   1.2e-28   98.1   7.3   1   3   1.8e-23     2e-20   71.0   3.7     1   233     6   250     6   264 0.83 | transcript=PVX_087970.1 | gene=PVX_087970 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr01:324282-326945(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087970.1-p1      -            887 3789at5820           -            599   1.2e-28   98.1   7.3   2   3   2.2e-13   2.5e-10   37.6   0.1   235   366   281   412   273   421 0.88 | transcript=PVX_087970.1 | gene=PVX_087970 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr01:324282-326945(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087970.1-p1      -            887 3789at5820           -            599   1.2e-28   98.1   7.3   3   3         5   5.5e+03  -14.2  17.3   496   564   809   877   793   887 0.57 | transcript=PVX_087970.1 | gene=PVX_087970 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr01:324282-326945(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083105.1-p1      -            928 3789at5820           -            599   6.1e-27   92.5  24.9   1   3    0.0013       1.4    5.4   0.0     1    63    29    92    29   114 0.82 | transcript=PVX_083105.1 | gene=PVX_083105 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr12:403593-406379(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083105.1-p1      -            928 3789at5820           -            599   6.1e-27   92.5  24.9   2   3   9.7e-30   1.1e-26   91.7   9.1    97   383   159   465   138   632 0.78 | transcript=PVX_083105.1 | gene=PVX_083105 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr12:403593-406379(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083105.1-p1      -            928 3789at5820           -            599   6.1e-27   92.5  24.9   3   3     0.017        18    1.7   4.9   493   582   648   744   633   750 0.75 | transcript=PVX_083105.1 | gene=PVX_083105 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr12:403593-406379(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3789at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3789at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3789at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:43 2026
# [ok]
