#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115385.1-p1      -            816 3562at5820           -            654         0 1070.4 107.2   1   3  5.2e-134  7.2e-131  436.0  39.7    13   260    51   312    38   317 0.95 | transcript=PVX_115385.1 | gene=PVX_115385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:108819-111269(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115385.1-p1      -            816 3562at5820           -            654         0 1070.4 107.2   2   3   2.8e-89   3.9e-86  288.2   7.4   254   423   349   519   338   523 0.96 | transcript=PVX_115385.1 | gene=PVX_115385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:108819-111269(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115385.1-p1      -            816 3562at5820           -            654         0 1070.4 107.2   3   3  2.3e-110  3.2e-107  357.8  44.0   421   654   563   816   561   816 0.90 | transcript=PVX_115385.1 | gene=PVX_115385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:108819-111269(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3562at5820           -            654    0.0012   15.7  25.1   1   2   6.1e-06    0.0084   12.8   4.7    91   191   175   272   153   295 0.88 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3562at5820           -            654    0.0012   15.7  25.1   2   2   0.00091       1.3    5.7  16.9    33   244   262   477   261   498 0.78 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000595.1-p1      -           1005 3562at5820           -            654     0.034   10.8   0.1   1   2   5.8e-05      0.08    9.6   0.1   387   419   339   371   330   376 0.92 | transcript=PVX_000595.1 | gene=PVX_000595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:445333-448350(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000595.1-p1      -           1005 3562at5820           -            654     0.034   10.8   0.1   2   2      0.58     8e+02   -3.6   0.0   330   374   643   689   623   692 0.56 | transcript=PVX_000595.1 | gene=PVX_000595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:445333-448350(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111075.1-p1      -            512 3562at5820           -            654      0.13    8.9  23.4   1   2   0.00011      0.16    8.6  16.5    19   213    43   242    31   294 0.84 | transcript=PVX_111075.1 | gene=PVX_111075 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:734691-736229(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111075.1-p1      -            512 3562at5820           -            654      0.13    8.9  23.4   2   2    0.0028       3.8    4.1   0.6   178   208   333   363   293   382 0.77 | transcript=PVX_111075.1 | gene=PVX_111075 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:734691-736229(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3562at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3562at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3562at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:26 2026
# [ok]
