#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_110990.1-p1      -            178 12431at5820          -            150   1.2e-92  305.6   3.9   1   1   6.2e-95   1.5e-92  305.3   3.9     1   150    11   176    11   176 0.96 | transcript=PVX_110990.1 | gene=PVX_110990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr06:800482-801018(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001905.1-p1      -            181 12431at5820          -            150     2e-47  158.8   0.1   1   1   1.1e-49   2.6e-47  158.4   0.1     1   148    11   174    11   176 0.91 | transcript=PVX_001905.1 | gene=PVX_001905 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr06:240794-242171(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118390.1-p1      -            185 12431at5820          -            150   1.4e-35  120.3   1.9   1   1   9.1e-38   2.2e-35  119.7   1.9     5   149    14   175    11   176 0.87 | transcript=PVX_118390.1 | gene=PVX_118390 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation-like factor, putative | transcript_product=ADP-ribosylation-like factor, putative | location=Pv_Sal1_chr12:2675674-2676493(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089930.1-p1      -            191 12431at5820          -            150   9.2e-20   69.0   0.0   1   1     8e-22   1.9e-19   68.0   0.0     3   112    16   133    14   188 0.88 | transcript=PVX_089930.1 | gene=PVX_089930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=Pv_Sal1_chr05:946227-947218(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114960.1-p1      -            203 12431at5820          -            150   6.6e-12   43.5   2.7   1   2   3.8e-14   9.2e-12   43.1   1.7     6   111    25   146    21   160 0.74 | transcript=PVX_114960.1 | gene=PVX_114960 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr11:460097-461140(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114960.1-p1      -            203 12431at5820          -            150   6.6e-12   43.5   2.7   2   2       1.1   2.5e+02   -0.6   0.0    15    62   151   200   146   203 0.71 | transcript=PVX_114960.1 | gene=PVX_114960 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr11:460097-461140(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088180.1-p1      -            201 12431at5820          -            150   1.5e-11   42.3   1.9   1   1   9.1e-14   2.2e-11   41.8   1.9     8   148    11   168     5   170 0.73 | transcript=PVX_088180.1 | gene=PVX_088180 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=Pv_Sal1_chr01:480652-481981(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122360.1-p1      -            205 12431at5820          -            150   3.5e-09   34.7   0.1   1   1   2.1e-11   5.1e-09   34.1   0.1     6   113    31   151    27   188 0.73 | transcript=PVX_122360.1 | gene=PVX_122360 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=Pv_Sal1_chr14:513238-514728(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080610.1-p1      -            200 12431at5820          -            150   5.1e-09   34.2   3.1   1   1   3.1e-11   7.4e-09   33.6   3.1     9   111    10   124     5   165 0.78 | transcript=PVX_080610.1 | gene=PVX_080610 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=Pv_Sal1_chr10:796420-798044(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080550.1-p1      -            207 12431at5820          -            150   5.9e-09   33.9   0.2   1   1   3.3e-11     8e-09   33.5   0.2     9   111    14   128    10   171 0.72 | transcript=PVX_080550.1 | gene=PVX_080550 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=Pv_Sal1_chr10:758365-758988(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099440.1-p1      -            191 12431at5820          -            150   1.7e-08   32.4   0.0   1   1     1e-10   2.5e-08   31.9   0.0     8   149    23   177    15   178 0.78 | transcript=PVX_099440.1 | gene=PVX_099440 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr07:777038-778403(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101235.1-p1      -            261 12431at5820          -            150   4.7e-08   31.0   0.1   1   1   3.2e-10   7.7e-08   30.3   0.1    10   111    66   181    59   204 0.76 | transcript=PVX_101235.1 | gene=PVX_101235 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2738495-2739776(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124195.1-p1      -            213 12431at5820          -            150   1.1e-07   29.8   0.0   1   1   6.5e-10   1.6e-07   29.3   0.0    37   142    45   158     8   165 0.66 | transcript=PVX_124195.1 | gene=PVX_124195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=Pv_Sal1_chr14:2125168-2126631(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098605.1-p1      -            206 12431at5820          -            150   1.4e-07   29.5   0.8   1   1   8.9e-10   2.1e-07   28.9   0.8     8   146     9   169     1   173 0.72 | transcript=PVX_098605.1 | gene=PVX_098605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=Pv_Sal1_chr07:31786-34194(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122840.1-p1      -            216 12431at5820          -            150   3.1e-07   28.3   0.8   1   1   1.7e-09   4.2e-07   27.9   0.8     9   142    13   164     7   172 0.69 | transcript=PVX_122840.1 | gene=PVX_122840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=Pv_Sal1_chr14:915775-917324(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091515.1-p1      -            214 12431at5820          -            150   4.1e-07   28.0   0.0   1   1   2.5e-09   6.1e-07   27.4   0.0    10   147    12   163     7   166 0.73 | transcript=PVX_091515.1 | gene=PVX_091515 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=Pv_Sal1_chr09:580205-581025(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092850.1-p1      -            207 12431at5820          -            150   2.3e-06   25.5   0.2   1   1   1.4e-08   3.3e-06   25.0   0.2     9   111    13   127     5   169 0.75 | transcript=PVX_092850.1 | gene=PVX_092850 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=Pv_Sal1_chr09:1759154-1760586(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117930.1-p1      -            784 12431at5820          -            150   2.8e-06   25.3   2.7   1   1   1.5e-08   3.5e-06   24.9   0.7    34    86    62   115     8   128 0.72 | transcript=PVX_117930.1 | gene=PVX_117930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2271397-2273751(+) | protein_length=784 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082950.1-p1      -            229 12431at5820          -            150   3.3e-06   25.0   0.0   1   1   2.2e-08   5.4e-06   24.3   0.0     9   131    11   146     6   160 0.76 | transcript=PVX_082950.1 | gene=PVX_082950 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=Pv_Sal1_chr12:563565-564902(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122635.1-p1      -            207 12431at5820          -            150     7e-06   24.0   0.2   1   1   2.3e-07   5.5e-05   21.1   0.2     9   149    17   185    11   186 0.65 | transcript=PVX_122635.1 | gene=PVX_122635 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr14:738258-739404(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
