#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111050.1-p1      -            706 4451at5820           -            552  1.8e-275  913.2  34.9   1   2   1.5e-07     6e-05   20.3   2.4     1    27    20    46    20    52 0.90 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 4451at5820           -            552  1.8e-275  913.2  34.9   2   2  2.6e-273    1e-270  897.6  24.7    26   551    75   703    58   704 0.94 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 4451at5820           -            552   5.1e-15   53.5  15.9   1   7     0.039        15    2.4   0.0   135   173    48    85    39    89 0.78 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 4451at5820           -            552   5.1e-15   53.5  15.9   2   7    0.0051         2    5.4   0.2   132   176    87   130    79   132 0.82 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 4451at5820           -            552   5.1e-15   53.5  15.9   3   7   2.6e-07    0.0001   19.5   0.1   135   169   132   165   127   179 0.87 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 4451at5820           -            552   5.1e-15   53.5  15.9   4   7   4.5e-06    0.0018   15.4   0.1   135   177   245   286   238   288 0.92 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 4451at5820           -            552   5.1e-15   53.5  15.9   5   7     8e-07   0.00031   17.9   0.1   133   173   287   327   284   338 0.92 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 4451at5820           -            552   5.1e-15   53.5  15.9   6   7      0.49   1.9e+02   -1.2   0.0    49    98   344   393   338   403 0.80 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 4451at5820           -            552   5.1e-15   53.5  15.9   7   7      0.65   2.6e+02   -1.6   0.5    95   135   596   636   523   682 0.71 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 4451at5820           -            552   1.1e-11   42.5  17.6   1   4   1.3e-08     5e-06   23.9   0.6   135   172   139   176    42   180 0.80 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 4451at5820           -            552   1.1e-11   42.5  17.6   2   4   1.5e-06    0.0006   17.0   0.1   135   174   187   227   179   231 0.86 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 4451at5820           -            552   1.1e-11   42.5  17.6   3   4    0.0015       0.6    7.1   1.4   135   170   231   265   225   307 0.81 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 4451at5820           -            552   1.1e-11   42.5  17.6   4   4      0.28   1.1e+02   -0.4   0.7    84   157   295   369   282   403 0.56 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 4451at5820           -            552   1.2e-10   39.1   0.9   1   3   6.5e-08   2.6e-05   21.5   0.0   130   173    59   102    46   114 0.82 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 4451at5820           -            552   1.2e-10   39.1   0.9   2   3   3.9e-06    0.0015   15.6   0.2   134   172   114   153   104   160 0.87 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
