#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084840.1-p1      -           2243 459at5820            -           1365         0 1972.7 137.8   1   9   2.5e-26   1.4e-22   77.7   0.1     1    57     1    57     1    71 0.91 | transcript=PVX_084840.1 | gene=PVX_084840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:696401-703132(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084840.1-p1      -           2243 459at5820            -           1365         0 1972.7 137.8   2   9    2e-143  1.1e-139  465.6  30.0    46   341   124   449   112   455 0.89 | transcript=PVX_084840.1 | gene=PVX_084840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:696401-703132(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084840.1-p1      -           2243 459at5820            -           1365         0 1972.7 137.8   3   9  1.3e-160  6.9e-157  522.6  32.9   361   678   621   952   608   959 0.94 | transcript=PVX_084840.1 | gene=PVX_084840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:696401-703132(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084840.1-p1      -           2243 459at5820            -           1365         0 1972.7 137.8   4   9   1.2e-14   6.5e-11   39.0   0.0   676   717  1180  1222  1166  1227 0.88 | transcript=PVX_084840.1 | gene=PVX_084840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:696401-703132(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084840.1-p1      -           2243 459at5820            -           1365         0 1972.7 137.8   5   9   2.2e-84   1.2e-80  270.0  11.9   721   902  1265  1468  1259  1497 0.94 | transcript=PVX_084840.1 | gene=PVX_084840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:696401-703132(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084840.1-p1      -           2243 459at5820            -           1365         0 1972.7 137.8   6   9   1.1e-14   5.9e-11   39.1   0.1   922   968  1578  1627  1574  1632 0.90 | transcript=PVX_084840.1 | gene=PVX_084840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:696401-703132(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084840.1-p1      -           2243 459at5820            -           1365         0 1972.7 137.8   7   9  2.2e-101   1.2e-97  326.3  10.5   965  1195  1683  1932  1677  1943 0.89 | transcript=PVX_084840.1 | gene=PVX_084840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:696401-703132(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084840.1-p1      -           2243 459at5820            -           1365         0 1972.7 137.8   8   9   2.1e-16   1.1e-12   44.8   0.3  1188  1232  2019  2063  2002  2072 0.82 | transcript=PVX_084840.1 | gene=PVX_084840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:696401-703132(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084840.1-p1      -           2243 459at5820            -           1365         0 1972.7 137.8   9   9   5.7e-69   3.2e-65  218.9   7.0  1220  1364  2076  2233  2066  2234 0.88 | transcript=PVX_084840.1 | gene=PVX_084840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:696401-703132(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/459at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/459at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/459at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:19 2026
# [ok]
