#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113440.1-p1      -            158 14134at5820          -            148   1.6e-77  256.7  18.3   1   1     3e-80   1.9e-77  256.5  18.3     1   148    10   158    10   158 0.99 | transcript=PVX_113440.1 | gene=PVX_113440 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=Pv_Sal1_chr11:1812622-1813098(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 14134at5820          -            148   3.1e-10   38.4   1.9   1   2     0.008       4.9    5.3   0.0    84   114    27    57    21    76 0.75 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 14134at5820          -            148   3.1e-10   38.4   1.9   2   2   6.6e-11   4.1e-08   31.5   1.8    62   142    78   159    58   164 0.89 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 14134at5820          -            148   1.8e-08   32.7   9.0   1   2   0.00039      0.24    9.5   0.2    82   129    25    73     9    78 0.73 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 14134at5820          -            148   1.8e-08   32.7   9.0   2   2   7.1e-09   4.3e-06   24.9   6.1    62   142    78   159    61   165 0.84 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 14134at5820          -            148   1.9e-08   32.6  13.9   1   2   2.2e-08   1.3e-05   23.3   6.0    84   142    17    76     4    83 0.86 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 14134at5820          -            148   1.9e-08   32.6  13.9   2   2   1.2e-05    0.0073   14.5   1.0    81   144    87   151    79   155 0.86 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 14134at5820          -            148   3.4e-06   25.3   1.1   1   1   1.6e-08   9.7e-06   23.8   1.1    12   143     8   144     3   148 0.82 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 14134at5820          -            148   5.9e-06   24.5   9.1   1   2   1.1e-05    0.0069   14.6   2.1    82   143    36    98    29   102 0.87 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 14134at5820          -            148   5.9e-06   24.5   9.1   2   2   1.8e-06    0.0011   17.1   4.0    58   141    85   169    70   176 0.81 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 14134at5820          -            148   0.00012   20.3  16.0   1   2   1.4e-05    0.0085   14.3   7.2    37   144   375   484   337   488 0.80 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 14134at5820          -            148   0.00012   20.3  16.0   2   2   0.00018      0.11   10.6   1.5    48   108   495   557   485   562 0.81 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101215.1-p1      -            209 14134at5820          -            148     0.002   16.3   0.7   1   1   4.6e-06    0.0028   15.8   0.7    55   120   118   183    73   208 0.76 | transcript=PVX_101215.1 | gene=PVX_101215 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A tail domain interacting protein MTIP, putative | transcript_product=myosin A tail domain interacting protein MTIP, putative | location=Pv_Sal1_chr14:2729679-2730308(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
