#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118535.1-p1      -           2439 322at5820            -           1848         0 3562.5 182.1   1   6     0.013        14    0.9   0.1     1    28     1    40     1    47 0.66 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 322at5820            -           1848         0 3562.5 182.1   2   6   1.8e-95     2e-92  308.7  17.8    47   249   179   412   159   419 0.90 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 322at5820            -           1848         0 3562.5 182.1   3   6         0         0 1326.4  52.1   248   860   520  1137   515  1141 0.99 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 322at5820            -           1848         0 3562.5 182.1   4   6         0         0 1040.5  37.0   858  1342  1198  1689  1192  1693 0.98 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 322at5820            -           1848         0 3562.5 182.1   5   6    6e-169  6.6e-166  552.4  18.8  1332  1602  1747  2021  1731  2025 0.97 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 322at5820            -           1848         0 3562.5 182.1   6   6  6.3e-109  6.9e-106  353.4  21.1  1600  1848  2121  2431  2118  2431 0.86 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 322at5820            -           1848    2e-171  570.7  83.3   1   8   3.4e-42   3.7e-39  132.1   1.3   173   365   667   861   656   865 0.88 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 322at5820            -           1848    2e-171  570.7  83.3   2   8   9.3e-79     1e-75  253.4   1.0   372   662   931  1222   923  1229 0.96 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 322at5820            -           1848    2e-171  570.7  83.3   3   8   1.9e-19   2.1e-16   56.7  25.2   663   972  1254  1551  1245  1555 0.84 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 322at5820            -           1848    2e-171  570.7  83.3   4   8   2.5e-06    0.0027   13.2   0.1   972  1096  1577  1702  1560  1713 0.81 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 322at5820            -           1848    2e-171  570.7  83.3   5   8   3.8e-17   4.2e-14   49.1   0.1  1100  1206  1744  1849  1737  1855 0.90 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 322at5820            -           1848    2e-171  570.7  83.3   6   8   9.8e-08   0.00011   17.9   1.4  1211  1307  1935  2028  1916  2042 0.84 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 322at5820            -           1848    2e-171  570.7  83.3   7   8   1.2e-26   1.3e-23   80.6   4.4  1355  1526  2053  2224  2047  2256 0.88 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 322at5820            -           1848    2e-171  570.7  83.3   8   8     0.048        54   -1.0   4.5  1646  1745  2423  2527  2397  2580 0.78 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 322at5820            -           1848   1.9e-27   93.3   6.9   1   2   1.8e-30   1.9e-27   93.3   6.9  1069  1459   276   671   257   752 0.80 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
