#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082485.1-p1      -            522 6047at5820           -            441  6.7e-218  722.0   1.6   1   1    1e-219  5.2e-217  719.1   1.6     1   439     1   516     1   518 0.96 | transcript=PVX_082485.1 | gene=PVX_082485 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:878717-880285(+) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 6047at5820           -            441   2.7e-05   21.3   4.8   1   2   2.3e-06    0.0011   16.0   1.3   260   333   118   188   112   215 0.76 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 6047at5820           -            441   2.7e-05   21.3   4.8   2   2    0.0017      0.86    6.5   0.1   406   432   291   317   240   324 0.80 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 6047at5820           -            441   4.1e-05   20.7   4.8   1   2   2.8e-06    0.0014   15.7   1.3   260   333   118   188   112   215 0.76 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 6047at5820           -            441   4.1e-05   20.7   4.8   2   2    0.0021         1    6.2   0.1   407   432   292   317   240   324 0.81 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 6047at5820           -            441   6.2e-05   20.1   0.0   1   3      0.24   1.2e+02   -0.6   0.9   348   421   520   594   513   604 0.71 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 6047at5820           -            441   6.2e-05   20.1   0.0   2   3       1.5   7.7e+02   -3.2   0.1    32    47   839   854   835   857 0.78 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 6047at5820           -            441   6.2e-05   20.1   0.0   3   3   1.2e-07   6.2e-05   20.1   0.0   278   335   909   965   901   971 0.86 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 6047at5820           -            441   7.5e-05   19.9   0.1   1   1   2.5e-07   0.00013   19.1   0.1   283   355   139   206   118   224 0.80 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 6047at5820           -            441   0.00048   17.2   1.8   1   1   1.6e-06   0.00082   16.4   1.8   270   440  3051  3234  3019  3235 0.68 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 6047at5820           -            441   0.00068   16.7   3.7   1   2      0.27   1.4e+02   -0.8   2.8   149   237    48   138    16   141 0.69 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
