#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095000.1-p1      -            580 4457at5820           -            537         0 1213.3  26.6   1   1         0         0 1213.1  26.6     1   537    33   580    33   580 0.99 | transcript=PVX_095000.1 | gene=PVX_095000 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=Pv_Sal1_chr08:723282-725290(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100550.1-p1      -            710 4457at5820           -            537  1.5e-107  358.7  25.4   1   2   2.9e-95     2e-92  308.8  12.9     1   419    71   498    71   511 0.97 | transcript=PVX_100550.1 | gene=PVX_100550 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperonin CPN60, mitochondrial precursor, putative | transcript_product=chaperonin CPN60, mitochondrial precursor, putative | location=Pv_Sal1_chr14:2185982-2188495(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100550.1-p1      -            710 4457at5820           -            537  1.5e-107  358.7  25.4   2   2   1.2e-18   8.2e-16   55.9   4.6   434   526   541   634   525   642 0.90 | transcript=PVX_100550.1 | gene=PVX_100550 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperonin CPN60, mitochondrial precursor, putative | transcript_product=chaperonin CPN60, mitochondrial precursor, putative | location=Pv_Sal1_chr14:2185982-2188495(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114865.1-p1      -            529 4457at5820           -            537   2.3e-15   54.5   6.7   1   2   2.2e-10   1.5e-07   28.7   3.1     7   103    20   111    16   238 0.88 | transcript=PVX_114865.1 | gene=PVX_114865 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit delta, putative | transcript_product=T-complex protein 1 subunit delta, putative | location=Pv_Sal1_chr11:565497-567817(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114865.1-p1      -            529 4457at5820           -            537   2.3e-15   54.5   6.7   2   2   6.3e-10   4.4e-07   27.1   0.1   385   510   386   516   360   528 0.79 | transcript=PVX_114865.1 | gene=PVX_114865 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit delta, putative | transcript_product=T-complex protein 1 subunit delta, putative | location=Pv_Sal1_chr11:565497-567817(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095220.1-p1      -            535 4457at5820           -            537   2.2e-13   47.9  14.2   1   2   4.7e-10   3.2e-07   27.6   5.8     6   210    25   243    20   268 0.72 | transcript=PVX_095220.1 | gene=PVX_095220 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=Pv_Sal1_chr08:911208-912815(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095220.1-p1      -            535 4457at5820           -            537   2.2e-13   47.9  14.2   2   2     2e-09   1.4e-06   25.5   1.3   381   508   384   517   371   533 0.71 | transcript=PVX_095220.1 | gene=PVX_095220 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=Pv_Sal1_chr08:911208-912815(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119530.1-p1      -            540 4457at5820           -            537   3.1e-12   44.1   5.9   1   2   1.7e-08   1.2e-05   22.4   1.5    14   132    29   142    17   190 0.86 | transcript=PVX_119530.1 | gene=PVX_119530 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=Pv_Sal1_chr08:1400038-1401841(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119530.1-p1      -            540 4457at5820           -            537   3.1e-12   44.1   5.9   2   2   5.9e-09     4e-06   23.9   0.2   371   519   369   523   356   533 0.81 | transcript=PVX_119530.1 | gene=PVX_119530 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=Pv_Sal1_chr08:1400038-1401841(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092215.1-p1      -            543 4457at5820           -            537   4.8e-11   40.2   3.4   1   2   5.5e-12   3.8e-09   33.9   1.6     6   145    12   150     8   207 0.83 | transcript=PVX_092215.1 | gene=PVX_092215 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=Pv_Sal1_chr09:1183648-1185521(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092215.1-p1      -            543 4457at5820           -            537   4.8e-11   40.2   3.4   2   2    0.0019       1.3    5.7   0.0   379   417   375   414   365   436 0.78 | transcript=PVX_092215.1 | gene=PVX_092215 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=Pv_Sal1_chr09:1183648-1185521(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
