#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   1  39   7.1e-26   3.9e-22   74.6   6.1     1    80    15    95    15   111 0.85 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   2  39   3.7e-49   2.1e-45  151.9  16.1    71   236   793   982   776   985 0.80 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   3  39   2.7e-29   1.5e-25   85.9   1.1   274   350  1421  1501  1384  1511 0.83 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   4  39  1.5e-133  8.1e-130  432.0  14.1   351   544  1578  1771  1573  1778 0.98 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   5  39   1.9e-22     1e-18   63.2   0.0   540   599  1826  1886  1821  1888 0.92 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   6  39     6e-73   3.3e-69  230.9  26.6   588   777  1914  2123  1908  2129 0.86 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   7  39   1.4e-13   7.7e-10   33.8   5.2   771   826  2161  2224  2145  2228 0.88 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   8  39   6.3e-53   3.5e-49  164.4   5.7   824   924  2408  2513  2401  2527 0.91 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   9  39   1.1e-13   6.1e-10   34.1   5.5   912   968  2718  2776  2708  2787 0.79 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  10  39   3.4e-46   1.9e-42  142.0   7.2   965  1045  2806  2886  2802  2890 0.96 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  11  39     1e-16   5.5e-13   44.2   3.2  1037  1087  2960  3019  2953  3053 0.74 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
