#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081610.1-p1      -            631 4891at5820           -            503         0 1049.0  28.1   1   2   8.7e-30     8e-27   92.5   8.5     1    72    73   153    73   159 0.90 | transcript=PVX_081610.1 | gene=PVX_081610 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr02:487513-489408(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081610.1-p1      -            631 4891at5820           -            503         0 1049.0  28.1   2   2  1.5e-293  1.4e-290  962.6  11.7    60   503   177   631   162   631 0.98 | transcript=PVX_081610.1 | gene=PVX_081610 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr02:487513-489408(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 4891at5820           -            503   1.7e-39  134.3   2.8   1   5     0.013        12    2.9   0.0    67   130   227   293   220   339 0.72 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 4891at5820           -            503   1.7e-39  134.3   2.8   2   5    0.0011      0.99    6.4   0.0   191   231   412   452   402   465 0.81 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 4891at5820           -            503   1.7e-39  134.3   2.8   3   5     2e-18   1.8e-15   55.1   0.2   232   310   546   622   534   634 0.89 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 4891at5820           -            503   1.7e-39  134.3   2.8   4   5   8.9e-17   8.2e-14   49.6   0.0   356   443   872   959   861   968 0.90 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 4891at5820           -            503   1.7e-39  134.3   2.8   5   5     2e-06    0.0019   15.4   0.0   453   491  1005  1043   991  1046 0.90 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002940.1-p1      -            584 4891at5820           -            503   7.4e-28   95.9   1.3   1   2    0.0067       6.2    3.8   0.0   194   244   207   257   183   270 0.89 | transcript=PVX_002940.1 | gene=PVX_002940 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr04:399979-401733(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002940.1-p1      -            584 4891at5820           -            503   7.4e-28   95.9   1.3   2   2   8.1e-29   7.5e-26   89.3   1.5   241   498   315   579   305   582 0.79 | transcript=PVX_002940.1 | gene=PVX_002940 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr04:399979-401733(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 4891at5820           -            503   3.3e-22   77.3   0.0   1   2     0.018        16    2.4   0.0   194   242   381   429   370   438 0.85 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 4891at5820           -            503   3.3e-22   77.3   0.0   2   2   1.9e-23   1.8e-20   71.6   0.0   241   501   474   757   465   759 0.78 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
