#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085340.1-p1      -            493 7062at5820           -            384  4.2e-210  695.8   4.5   1   3  3.4e-116  1.7e-113  377.8   0.1     1   213    10   245    10   249 0.94 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 7062at5820           -            384  4.2e-210  695.8   4.5   2   3   1.2e-13   6.2e-11   40.2   0.2   213   242   275   304   271   310 0.92 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 7062at5820           -            384  4.2e-210  695.8   4.5   3   3   1.5e-85   7.6e-83  277.0   0.0   239   384   347   493   343   493 0.98 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 7062at5820           -            384   3.5e-54  182.6   0.0   1   1   1.8e-56   8.9e-54  181.3   0.0     5   384     2   376     1   376 0.82 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 7062at5820           -            384   4.6e-51  172.3   0.0   1   1   1.9e-53   9.5e-51  171.3   0.0     7   384     3   376     1   376 0.82 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 7062at5820           -            384   4.3e-45  152.7   0.1   1   1   1.1e-47   5.8e-45  152.3   0.1   102   383    98   378    82   379 0.90 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097820.1-p1      -            600 7062at5820           -            384   8.3e-42  141.9  18.9   1   3   4.8e-06    0.0024   15.2   0.0     7    52     5    50     2    64 0.87 | transcript=PVX_097820.1 | gene=PVX_097820 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr10:1113787-1115589(-) | protein_length=600 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097820.1-p1      -            600 7062at5820           -            384   8.3e-42  141.9  18.9   2   3    0.0014       0.7    7.1   0.2    42    81    66   111    51   121 0.79 | transcript=PVX_097820.1 | gene=PVX_097820 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr10:1113787-1115589(-) | protein_length=600 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097820.1-p1      -            600 7062at5820           -            384   8.3e-42  141.9  18.9   3   3   3.2e-37   1.6e-34  117.9  11.2   101   383   270   600   261   600 0.77 | transcript=PVX_097820.1 | gene=PVX_097820 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr10:1113787-1115589(-) | protein_length=600 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090865.1-p1      -            491 7062at5820           -            384   5.5e-37  126.0   4.4   1   2   2.4e-29   1.2e-26   91.9   0.5   101   232    97   230    41   236 0.87 | transcript=PVX_090865.1 | gene=PVX_090865 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:41122-42597(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090865.1-p1      -            491 7062at5820           -            384   5.5e-37  126.0   4.4   2   2   3.5e-12   1.8e-09   35.5   0.2   275   382   381   488   366   491 0.78 | transcript=PVX_090865.1 | gene=PVX_090865 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:41122-42597(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
