#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080100.1-p1      -           1464 1030at5820           -           1196         0 2334.5  94.2   1   5  3.1e-276  1.4e-273  909.2  24.4     1   454    19   498    19   505 0.97 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1030at5820           -           1196         0 2334.5  94.2   2   5   6.7e-74   3.1e-71  239.0   5.0   440   579   534   678   522   686 0.89 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1030at5820           -           1196         0 2334.5  94.2   3   5     1e-17   4.8e-15   52.9   6.3   562   609   699   746   689   769 0.77 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1030at5820           -           1196         0 2334.5  94.2   4   5  2.9e-227  1.3e-224  747.0  25.1   606  1000   797  1229   766  1239 0.93 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1030at5820           -           1196         0 2334.5  94.2   5   5  7.5e-125  3.5e-122  407.8   2.1  1002  1196  1269  1464  1265  1464 0.99 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 1030at5820           -           1196   4.3e-56  188.8  21.4   1   1   1.4e-58   6.3e-56  188.3  21.4    61   597   388   934   331   956 0.73 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083495.1-p1      -            998 1030at5820           -           1196   1.5e-35  120.8   5.9   1   2      0.15        69   -0.6  33.8     5   348   303   676   299   693 0.71 | transcript=PVX_083495.1 | gene=PVX_083495 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=Pv_Sal1_chr12:75466-78462(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083495.1-p1      -            998 1030at5820           -           1196   1.5e-35  120.8   5.9   2   2   3.2e-38   1.5e-35  120.8   5.9   351   562   769   970   761   996 0.88 | transcript=PVX_083495.1 | gene=PVX_083495 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=Pv_Sal1_chr12:75466-78462(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 1030at5820           -           1196   9.5e-33  111.5  24.3   1   3   4.6e-05     0.021   11.0  12.4   605   914   203   527   180   568 0.67 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 1030at5820           -           1196   9.5e-33  111.5  24.3   2   3   1.3e-15   6.1e-13   45.9   0.2   357   461   617   724   606   758 0.85 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 1030at5820           -           1196   9.5e-33  111.5  24.3   3   3   1.9e-20   8.7e-18   62.0   0.4   443   560   774   889   761   898 0.84 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 1030at5820           -           1196   3.3e-31  106.4   6.2   1   2      0.06        28    0.7  22.2    38   328   211   499   175   519 0.71 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 1030at5820           -           1196   3.3e-31  106.4   6.2   2   2   7.1e-34   3.3e-31  106.4   6.2   339   559   557   773   550   779 0.91 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119255.1-p1      -           1364 1030at5820           -           1196   9.4e-27   91.7  23.8   1   2   2.5e-12   1.2e-09   35.1   9.1   305   442   980  1121   972  1150 0.83 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119255.1-p1      -           1364 1030at5820           -           1196   9.4e-27   91.7  23.8   2   2   1.6e-23   7.5e-21   72.1   6.7   453   586  1234  1359  1215  1363 0.87 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 1030at5820           -           1196   4.1e-22   76.3  18.8   1   3      0.55   2.5e+02   -2.5   6.5   689   869   194   385   174   439 0.48 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 1030at5820           -           1196   4.1e-22   76.3  18.8   2   3   9.8e-16   4.5e-13   46.3   0.8   339   441   481   585   476   590 0.88 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 1030at5820           -           1196   4.1e-22   76.3  18.8   3   3   7.9e-14   3.7e-11   40.0   0.2  1056  1164   682   786   670   803 0.82 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 1030at5820           -           1196   9.2e-18   61.9   0.7   1   2     2e-20   9.2e-18   61.9   0.7   327   547    25   236    18   271 0.83 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 1030at5820           -           1196   9.2e-18   61.9   0.7   2   2       4.6   2.1e+03   -5.5   4.4   233   300   502   571   495   598 0.77 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 1030at5820           -           1196   1.2e-12   44.9   8.6   1   3   1.2e-08   5.4e-06   22.9   0.6   367   555   117   300    91   317 0.71 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 1030at5820           -           1196   1.2e-12   44.9   8.6   2   3     0.037        17    1.4   0.0   364   395   386   417   334   427 0.70 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 1030at5820           -           1196   1.2e-12   44.9   8.6   3   3   8.9e-09   4.1e-06   23.3   0.6   472   558   468   555   462   577 0.74 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 1030at5820           -           1196     8e-12   42.2  10.7   1   3     0.026        12    1.9   0.1   359   390   200   231   169   269 0.68 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
