#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123920.1-p1      -           1143 1289at5820           -            955         0 1796.6  50.2   1   3  2.6e-138  1.8e-135  451.8  12.4     6   254    37   308    33   316 0.94 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 1289at5820           -            955         0 1796.6  50.2   2   3   7.7e-49   5.3e-46  155.6   0.4   253   355   351   475   341   483 0.89 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 1289at5820           -            955         0 1796.6  50.2   3   3         0         0 1198.9  23.5   355   955   504  1143   501  1143 0.96 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 1289at5820           -            955   2.2e-63  213.2  33.0   1   4   2.5e-20   1.7e-17   61.3  10.7    15   179   196   380   189   431 0.79 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 1289at5820           -            955   2.2e-63  213.2  33.0   2   4     1e-30   7.2e-28   95.6   1.2   277   447   558   752   543   766 0.80 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 1289at5820           -            955   2.2e-63  213.2  33.0   3   4   3.4e-18   2.4e-15   54.2   3.3   469   651   817   994   809  1025 0.81 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 1289at5820           -            955   2.2e-63  213.2  33.0   4   4   4.5e-06    0.0031   14.1   0.0   745   803  1182  1240  1170  1246 0.90 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 1289at5820           -            955   1.7e-40  137.4  10.7   1   2     2e-34   1.4e-31  108.0   5.1   363   566     7   213     3   242 0.87 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 1289at5820           -            955   1.7e-40  137.4  10.7   2   2   1.4e-11   9.6e-09   32.3   0.3   734   804   338   406   321   413 0.89 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 1289at5820           -            955   3.1e-18   63.8   1.1   1   2   1.5e-19   1.1e-16   58.7   0.3   377   508     5   137     1   143 0.88 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 1289at5820           -            955   3.1e-18   63.8   1.1   2   2    0.0063       4.3    3.7   0.0   743   794   212   263   196   272 0.77 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
