#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089395.1-p1      -            705 4437at5820           -            479    6e-241  798.9  10.7   1   3   1.3e-80   1.4e-77  260.2   0.6     1   146    61   207    61   218 0.97 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 4437at5820           -            479    6e-241  798.9  10.7   2   3   2.6e-26   2.9e-23   81.0   0.0   144   198   228   287   220   298 0.86 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 4437at5820           -            479    6e-241  798.9  10.7   3   3    9e-140  9.9e-137  455.2   4.5   198   479   359   691   356   691 0.88 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000810.1-p1      -            843 4437at5820           -            479   1.9e-26   91.5   6.7   1   2   4.4e-13   4.8e-10   37.5   0.2     7   184   248   465   245   490 0.67 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000810.1-p1      -            843 4437at5820           -            479   1.9e-26   91.5   6.7   2   2     1e-17   1.1e-14   52.7   1.9   200   434   510   763   475   783 0.74 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 4437at5820           -            479   5.8e-19   66.9   8.2   1   4    0.0022       2.4    5.5   0.0     2    41    44    83    43    91 0.88 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 4437at5820           -            479   5.8e-19   66.9   8.2   2   4    0.0038       4.2    4.7   0.1    47   116   117   184    94   204 0.78 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 4437at5820           -            479   5.8e-19   66.9   8.2   3   4   7.9e-08   8.8e-05   20.1   0.0   143   180   235   272   231   287 0.85 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 4437at5820           -            479   5.8e-19   66.9   8.2   4   4   2.7e-13   2.9e-10   38.2   0.5   203   418   344   576   338   585 0.75 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 4437at5820           -            479   1.5e-18   65.6  22.1   1   2   0.00016      0.17    9.2   0.1     6    38   468   500   464   514 0.86 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 4437at5820           -            479   1.5e-18   65.6  22.1   2   2     6e-17   6.6e-14   50.2  17.7    45   468   556  1057   531  1063 0.70 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
