#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090020.1-p1      -           1699 1976at5820           -           1181         0 1634.6  35.4   1   2  9.3e-122  3.2e-119  397.9  10.2    11   336    54   522    45   532 0.84 | transcript=PVX_090020.1 | gene=PVX_090020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1046372-1051471(+) | protein_length=1699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090020.1-p1      -           1699 1976at5820           -           1181         0 1634.6  35.4   2   2         0         0 1238.8  17.2   336  1181   554  1699   533  1699 0.88 | transcript=PVX_090020.1 | gene=PVX_090020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1046372-1051471(+) | protein_length=1699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092485.1-p1      -            456 1976at5820           -           1181   3.7e-08   30.1  20.5   1   4   0.00019     0.066    9.4   2.0   361   413   102   151    92   195 0.72 | transcript=PVX_092485.1 | gene=PVX_092485 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1423217-1424587(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092485.1-p1      -            456 1976at5820           -           1181   3.7e-08   30.1  20.5   2   4     0.015       5.1    3.1   1.5   286   315   223   252   188   257 0.71 | transcript=PVX_092485.1 | gene=PVX_092485 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1423217-1424587(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092485.1-p1      -            456 1976at5820           -           1181   3.7e-08   30.1  20.5   3   4   5.8e-09     2e-06   24.3   0.3   285   321   276   310   255   331 0.84 | transcript=PVX_092485.1 | gene=PVX_092485 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1423217-1424587(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092485.1-p1      -            456 1976at5820           -           1181   3.7e-08   30.1  20.5   4   4     0.074        25    0.8   0.2   280   307   330   357   317   361 0.73 | transcript=PVX_092485.1 | gene=PVX_092485 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1423217-1424587(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097985.1-p1      -           2237 1976at5820           -           1181   3.5e-07   26.8  16.9   1   7    0.0009      0.31    7.1   0.0   357   393   229   265   213   277 0.58 | transcript=PVX_097985.1 | gene=PVX_097985 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanidine nucleotide exchange factor, putative | transcript_product=guanidine nucleotide exchange factor, putative | location=Pv_Sal1_chr10:996753-1003466(+) | protein_length=2237 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097985.1-p1      -           2237 1976at5820           -           1181   3.5e-07   26.8  16.9   2   7   0.00063      0.22    7.7   0.7   533   567   359   395   351   421 0.77 | transcript=PVX_097985.1 | gene=PVX_097985 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanidine nucleotide exchange factor, putative | transcript_product=guanidine nucleotide exchange factor, putative | location=Pv_Sal1_chr10:996753-1003466(+) | protein_length=2237 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097985.1-p1      -           2237 1976at5820           -           1181   3.5e-07   26.8  16.9   3   7      0.79   2.7e+02   -2.6   0.1   363   393   628   658   626   663 0.85 | transcript=PVX_097985.1 | gene=PVX_097985 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanidine nucleotide exchange factor, putative | transcript_product=guanidine nucleotide exchange factor, putative | location=Pv_Sal1_chr10:996753-1003466(+) | protein_length=2237 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097985.1-p1      -           2237 1976at5820           -           1181   3.5e-07   26.8  16.9   4   7   0.00058       0.2    7.8   0.7   286   323   684   721   676   731 0.87 | transcript=PVX_097985.1 | gene=PVX_097985 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanidine nucleotide exchange factor, putative | transcript_product=guanidine nucleotide exchange factor, putative | location=Pv_Sal1_chr10:996753-1003466(+) | protein_length=2237 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097985.1-p1      -           2237 1976at5820           -           1181   3.5e-07   26.8  16.9   5   7     0.002      0.69    6.0   0.0   531   566   798   832   792   838 0.89 | transcript=PVX_097985.1 | gene=PVX_097985 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanidine nucleotide exchange factor, putative | transcript_product=guanidine nucleotide exchange factor, putative | location=Pv_Sal1_chr10:996753-1003466(+) | protein_length=2237 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097985.1-p1      -           2237 1976at5820           -           1181   3.5e-07   26.8  16.9   6   7     0.025       8.5    2.4   0.0   363   386   881   904   867   915 0.87 | transcript=PVX_097985.1 | gene=PVX_097985 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanidine nucleotide exchange factor, putative | transcript_product=guanidine nucleotide exchange factor, putative | location=Pv_Sal1_chr10:996753-1003466(+) | protein_length=2237 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097985.1-p1      -           2237 1976at5820           -           1181   3.5e-07   26.8  16.9   7   7      0.12        42    0.1   0.0   362   429   924   989   917   997 0.76 | transcript=PVX_097985.1 | gene=PVX_097985 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanidine nucleotide exchange factor, putative | transcript_product=guanidine nucleotide exchange factor, putative | location=Pv_Sal1_chr10:996753-1003466(+) | protein_length=2237 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092370.1-p1      -            960 1976at5820           -           1181   1.2e-05   21.8   2.4   1   5     0.066        23    1.0   0.2   305   319    58    72    37    80 0.79 | transcript=PVX_092370.1 | gene=PVX_092370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1316937-1320001(-) | protein_length=960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092370.1-p1      -            960 1976at5820           -           1181   1.2e-05   21.8   2.4   2   5   0.00032      0.11    8.7   0.1   360   400    86   126    80   139 0.89 | transcript=PVX_092370.1 | gene=PVX_092370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1316937-1320001(-) | protein_length=960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092370.1-p1      -            960 1976at5820           -           1181   1.2e-05   21.8   2.4   3   5     0.014       4.9    3.2   0.0   542   561   139   158   128   190 0.68 | transcript=PVX_092370.1 | gene=PVX_092370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1316937-1320001(-) | protein_length=960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092370.1-p1      -            960 1976at5820           -           1181   1.2e-05   21.8   2.4   4   5   0.00078      0.27    7.3   1.0   359   398   277   319   270   326 0.64 | transcript=PVX_092370.1 | gene=PVX_092370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1316937-1320001(-) | protein_length=960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092370.1-p1      -            960 1976at5820           -           1181   1.2e-05   21.8   2.4   5   5   3.4e-08   1.2e-05   21.8   2.4   526   584   317   381   316   417 0.70 | transcript=PVX_092370.1 | gene=PVX_092370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1316937-1320001(-) | protein_length=960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114810.1-p1      -            479 1976at5820           -           1181   8.6e-05   18.9  16.9   1   6      0.22        77   -0.8   0.2   362   397    73   108    69   119 0.89 | transcript=PVX_114810.1 | gene=PVX_114810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:617571-619010(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114810.1-p1      -            479 1976at5820           -           1181   8.6e-05   18.9  16.9   2   6   1.7e-06    0.0006   16.1   0.6   542   604   124   186   117   191 0.81 | transcript=PVX_114810.1 | gene=PVX_114810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:617571-619010(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114810.1-p1      -            479 1976at5820           -           1181   8.6e-05   18.9  16.9   3   6      0.39   1.3e+02   -1.6   0.1   449   464   211   228   190   233 0.75 | transcript=PVX_114810.1 | gene=PVX_114810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:617571-619010(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114810.1-p1      -            479 1976at5820           -           1181   8.6e-05   18.9  16.9   4   6     0.024       8.3    2.4   0.2   731   745   245   259   230   263 0.86 | transcript=PVX_114810.1 | gene=PVX_114810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:617571-619010(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114810.1-p1      -            479 1976at5820           -           1181   8.6e-05   18.9  16.9   5   6    0.0019      0.65    6.1   0.1   363   396   308   341   297   392 0.79 | transcript=PVX_114810.1 | gene=PVX_114810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:617571-619010(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114810.1-p1      -            479 1976at5820           -           1181   8.6e-05   18.9  16.9   6   6     0.019       6.6    2.8   0.1   543   568   362   387   343   405 0.65 | transcript=PVX_114810.1 | gene=PVX_114810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:617571-619010(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 1976at5820           -           1181   0.00022   17.6   2.3   1   6    0.0026       0.9    5.6   0.2   537   574    63    97    43   103 0.78 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 1976at5820           -           1181   0.00022   17.6   2.3   2   6   0.00094      0.32    7.1   6.4   238   314   117   196   100   203 0.75 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 1976at5820           -           1181   0.00022   17.6   2.3   3   6   9.7e-06    0.0033   13.7   0.2   497   566   316   385   295   391 0.80 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 1976at5820           -           1181   0.00022   17.6   2.3   4   6   2.6e-05     0.009   12.2   0.1   357   398   356   397   338   409 0.84 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
