#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9   1  17   1.7e-83   9.6e-80  267.1   0.3     2   173    54   233    53   242 0.92 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9   2  17   1.3e-61   7.4e-58  194.5   1.0   162   268   265   371   255   383 0.93 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9   3  17   8.1e-98   4.5e-94  314.5   1.3   263   443   429   611   423   615 0.96 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9   4  17   1.8e-42   9.7e-39  131.2   1.9   441   527   688   774   684   778 0.96 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9   5  17   1.4e-23   7.5e-20   68.6   0.0   524   597   816   891   811   896 0.95 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9   6  17   0.00032       1.8    4.4   0.0   598   616   931   949   923   955 0.90 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9   7  17   1.3e-45   7.3e-42  141.5   5.2   616   732   975  1108   971  1114 0.87 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9   8  17   1.8e-07   0.00098   15.2   0.0   740   778  1210  1249  1199  1262 0.86 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9   9  17   2.2e-12   1.2e-08   31.4   0.0   778   814  1273  1309  1267  1311 0.93 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9  10  17   7.2e-09     4e-05   19.8   0.2   809   840  1328  1359  1323  1364 0.90 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9  11  17   2.3e-15   1.3e-11   41.3   0.0   848   908  1396  1471  1389  1481 0.84 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9  12  17   4.8e-14   2.6e-10   36.9   0.1   908   946  1509  1547  1505  1554 0.94 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9  13  17   1.6e-19   8.9e-16   55.1   0.0   958  1026  1621  1694  1615  1698 0.92 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9  14  17     0.028   1.6e+02   -2.1   0.0  1032  1046  1764  1778  1761  1789 0.86 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9  15  17   6.4e-57   3.5e-53  179.0   9.3  1074  1229  1875  2046  1872  2051 0.92 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9  16  17   6.9e-41   3.8e-37  125.9   1.1  1228  1321  2139  2233  2137  2239 0.93 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097810.1-p1      -           2404 569at5820            -           1444         0 1772.4  97.9  17  17   5.8e-58   3.2e-54  182.5  11.2  1322  1444  2260  2404  2257  2404 0.87 | transcript=PVX_097810.1 | gene=PVX_097810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1127806-1135142(+) | protein_length=2404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/569at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:54 2026
# [ok]
