#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085490.1-p1      -            563 5494at5820           -            442    2e-257  852.4  15.6   1   2   1.2e-73   1.1e-70  237.0   0.4     1   118    47   171    47   181 0.96 | transcript=PVX_085490.1 | gene=PVX_085490 | organism=Plasmodium_vivax_Sal-1 | gene_product=glutathione reductase, putative | transcript_product=glutathione reductase, putative | location=Pv_Sal1_chr13:1210093-1212250(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085490.1-p1      -            563 5494at5820           -            442    2e-257  852.4  15.6   2   2  1.1e-189  9.9e-187  619.5   9.2   116   442   201   563   188   563 0.95 | transcript=PVX_085490.1 | gene=PVX_085490 | organism=Plasmodium_vivax_Sal-1 | gene_product=glutathione reductase, putative | transcript_product=glutathione reductase, putative | location=Pv_Sal1_chr13:1210093-1212250(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099600.1-p1      -            546 5494at5820           -            442   7.2e-65  217.9   0.0   1   2   1.3e-38   1.2e-35  121.6   0.0     3   274    46   365    44   368 0.78 | transcript=PVX_099600.1 | gene=PVX_099600 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin reductase, putative | transcript_product=thioredoxin reductase, putative | location=Pv_Sal1_chr07:902836-904476(-) | protein_length=546 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099600.1-p1      -            546 5494at5820           -            442   7.2e-65  217.9   0.0   2   2   2.3e-30   2.1e-27   94.4   0.0   297   437   369   524   363   527 0.85 | transcript=PVX_099600.1 | gene=PVX_099600 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin reductase, putative | transcript_product=thioredoxin reductase, putative | location=Pv_Sal1_chr07:902836-904476(-) | protein_length=546 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100555.1-p1      -            512 5494at5820           -            442   2.1e-29  101.0  10.7   1   1   3.7e-31   3.4e-28   97.0  10.7     3   434    25   498    23   506 0.72 | transcript=PVX_100555.1 | gene=PVX_100555 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoyl dehydrogenase, mitochondrial, putative | transcript_product=dihydrolipoyl dehydrogenase, mitochondrial, putative | location=Pv_Sal1_chr14:2190578-2192355(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089610.1-p1      -            658 5494at5820           -            442   1.3e-17   62.1  15.6   1   2   5.2e-11   4.8e-08   30.6   7.9     3   172   109   323   107   337 0.64 | transcript=PVX_089610.1 | gene=PVX_089610 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoyl dehydrogenase, apicoplast, putative | transcript_product=dihydrolipoyl dehydrogenase, apicoplast, putative | location=Pv_Sal1_chr05:695475-697451(-) | protein_length=658 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089610.1-p1      -            658 5494at5820           -            442   1.3e-17   62.1  15.6   2   2   5.4e-09     5e-06   23.9   0.8   224   433   406   644   400   649 0.69 | transcript=PVX_089610.1 | gene=PVX_089610 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoyl dehydrogenase, apicoplast, putative | transcript_product=dihydrolipoyl dehydrogenase, apicoplast, putative | location=Pv_Sal1_chr05:695475-697451(-) | protein_length=658 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096305.1-p1      -            689 5494at5820           -            442   0.00093   16.5   0.3   1   2     0.022        21    2.1   0.0   151   174   395   418   378   431 0.82 | transcript=PVX_096305.1 | gene=PVX_096305 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferrodoxin reductase, putative | transcript_product=ferrodoxin reductase, putative | location=Pv_Sal1_chr03:610312-612381(+) | protein_length=689 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096305.1-p1      -            689 5494at5820           -            442   0.00093   16.5   0.3   2   2   3.1e-05     0.029   11.6   0.1   227   331   502   599   486   641 0.73 | transcript=PVX_096305.1 | gene=PVX_096305 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferrodoxin reductase, putative | transcript_product=ferrodoxin reductase, putative | location=Pv_Sal1_chr03:610312-612381(+) | protein_length=689 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101100.1-p1      -            864 5494at5820           -            442     0.017   12.3   0.2   1   1   3.3e-05     0.031   11.4   0.2     3    39    75   113    73   137 0.77 | transcript=PVX_101100.1 | gene=PVX_101100 | organism=Plasmodium_vivax_Sal-1 | gene_product=glucose inhibited division protein a homologue, putative | transcript_product=glucose inhibited division protein a homologue, putative | location=Pv_Sal1_chr14:2632616-2635517(-) | protein_length=864 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5494at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5494at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5494at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:57 2026
# [ok]
