#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114190.1-p1      -            607 4874at5820           -            420  2.2e-235  779.5  56.2   1   4   3.6e-06     0.004   14.3   0.3     1    21     1    21     1    29 0.92 | transcript=PVX_114190.1 | gene=PVX_114190 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1j, putative | transcript_product=inner membrane complex protein 1j, putative | location=Pv_Sal1_chr11:1185714-1187537(-) | protein_length=607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114190.1-p1      -            607 4874at5820           -            420  2.2e-235  779.5  56.2   2   4    9e-137    1e-133  444.6  32.1    15   236    45   267    38   275 0.97 | transcript=PVX_114190.1 | gene=PVX_114190 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1j, putative | transcript_product=inner membrane complex protein 1j, putative | location=Pv_Sal1_chr11:1185714-1187537(-) | protein_length=607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114190.1-p1      -            607 4874at5820           -            420  2.2e-235  779.5  56.2   3   4   7.3e-06     0.008   13.4   0.1   233   257   305   329   302   336 0.89 | transcript=PVX_114190.1 | gene=PVX_114190 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1j, putative | transcript_product=inner membrane complex protein 1j, putative | location=Pv_Sal1_chr11:1185714-1187537(-) | protein_length=607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114190.1-p1      -            607 4874at5820           -            420  2.2e-235  779.5  56.2   4   4   1.1e-98   1.2e-95  319.2   6.4   250   420   345   530   332   530 0.94 | transcript=PVX_114190.1 | gene=PVX_114190 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1j, putative | transcript_product=inner membrane complex protein 1j, putative | location=Pv_Sal1_chr11:1185714-1187537(-) | protein_length=607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082990.1-p1      -            442 4874at5820           -            420   3.5e-47  159.5  35.6   1   1   4.8e-50   5.3e-47  158.9  35.6    27   215   138   327   130   336 0.94 | transcript=PVX_082990.1 | gene=PVX_082990 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=Pv_Sal1_chr12:533501-534829(+) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 4874at5820           -            420      0.76    6.8  31.6   1   2    0.0037       4.1    4.4   5.9   130   160    44    71    30    81 0.70 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 4874at5820           -            420      0.76    6.8  31.6   2   2   0.00093         1    6.4  20.0   131   189    81   140    69   154 0.83 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 4874at5820           -            420       3.3    4.7  32.9   1   3    0.0045         5    4.2   5.4   130   158    44    69    27    80 0.73 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 4874at5820           -            420       3.3    4.7  32.9   2   3   0.00082      0.91    6.6  19.1   130   188    80   139    68   150 0.83 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 4874at5820           -            420       3.3    4.7  32.9   3   3      0.19   2.1e+02   -1.2   7.8   126   204   118   193   111   251 0.58 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 4874at5820           -            420       5.2    4.1  33.3   1   3    0.0053       5.9    3.9   5.4   130   158    44    69    30    80 0.72 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
