#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2   1  11     1e-26   5.7e-23   79.3   2.9     9    65    19    75     1    92 0.89 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2   2  11   8.9e-55   4.9e-51  172.1  14.8    60   157   108   205   101   207 0.97 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2   3  11  7.3e-106  4.1e-102  341.2  12.9   152   332   276   462   270   467 0.94 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2   4  11         1   5.5e+03  -10.0  12.5   703   752   509   555   494   564 0.49 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2   5  11   0.00013      0.69    6.2  25.3   327   394   566   679   557   691 0.69 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2   6  11   3.1e-11   1.7e-07   28.1   1.9   398   449   728   783   723   789 0.74 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2   7  11   1.1e-20     6e-17   59.3   9.3   396   483   764   855   756   878 0.82 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2   8  11   2.9e-16   1.6e-12   44.7   4.9   472   547   894   975   878   986 0.76 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2   9  11   1.9e-60   1.1e-56  190.9  26.6   517   689  1060  1242  1036  1303 0.71 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2  10  11   9.3e-23   5.1e-19   66.2  33.8   625   748  1455  1601  1447  1602 0.69 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081725.1-p1      -           1796 1454at5820           -            903         0 1260.3 232.2  11  11  1.8e-102     1e-98  329.9  26.7   696   903  1580  1796  1574  1796 0.86 | transcript=PVX_081725.1 | gene=PVX_081725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:608176-614294(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
