#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111030.1-p1      -            191 11721at5820          -            163  1.6e-109  361.4   1.6   1   1  4.4e-112  1.9e-109  361.1   1.6     1   163    19   191    19   191 0.97 | transcript=PVX_111030.1 | gene=PVX_111030 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr06:773084-774664(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079885.1-p1      -            152 11721at5820          -            163   2.1e-20   71.5   0.0   1   1   6.6e-23   2.8e-20   71.1   0.0    14   127    32   148    28   151 0.91 | transcript=PVX_079885.1 | gene=PVX_079885 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 N, putative | transcript_product=ubiquitin-conjugating enzyme E2 N, putative | location=Pv_Sal1_chr10:178944-180024(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084235.1-p1      -            147 11721at5820          -            163   1.1e-17   62.7   0.2   1   1   3.4e-20   1.4e-17   62.3   0.2    25   126    47   146    35   147 0.93 | transcript=PVX_084235.1 | gene=PVX_084235 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 4, putative | transcript_product=ubiquitin-conjugating enzyme E2 4, putative | location=Pv_Sal1_chr13:113858-115469(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095270.1-p1      -            160 11721at5820          -            163   1.2e-17   62.6   0.1   1   1   3.5e-20   1.5e-17   62.3   0.1    21   121    41   144    32   158 0.83 | transcript=PVX_095270.1 | gene=PVX_095270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:949943-950560(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123140.1-p1      -            164 11721at5820          -            163   2.7e-16   58.2   0.0   1   1   7.8e-19   3.3e-16   57.9   0.0    24   124    49   147    33   161 0.91 | transcript=PVX_123140.1 | gene=PVX_123140 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:1164251-1165050(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113480.1-p1      -            152 11721at5820          -            163   3.2e-16   58.0   0.0   1   1   8.6e-19   3.7e-16   57.8   0.0    24   109    46   130    21   151 0.86 | transcript=PVX_113480.1 | gene=PVX_113480 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 I, putative | transcript_product=ubiquitin-conjugating enzyme E2 I, putative | location=Pv_Sal1_chr11:1772616-1773916(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114795.1-p1      -            202 11721at5820          -            163   2.1e-15   55.3   0.3   1   1   7.4e-18   3.2e-15   54.7   0.3    25   127    55   156    19   179 0.85 | transcript=PVX_114795.1 | gene=PVX_114795 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr11:627425-629176(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101160.1-p1      -            150 11721at5820          -            163   7.6e-14   50.2   0.1   1   1   2.5e-16   1.1e-13   49.8   0.1    32   116    62   144    51   148 0.87 | transcript=PVX_101160.1 | gene=PVX_101160 | organism=Plasmodium_vivax_Sal-1 | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=Pv_Sal1_chr14:2682940-2684147(+) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099185.1-p1      -            159 11721at5820          -            163   1.4e-11   42.9   0.0   1   1   3.8e-14   1.6e-11   42.7   0.0    22   125    47   155    31   159 0.82 | transcript=PVX_099185.1 | gene=PVX_099185 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=Pv_Sal1_chr07:572412-573302(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099465.1-p1      -            163 11721at5820          -            163   5.2e-09   34.5   1.2   1   1   5.9e-11   2.5e-08   32.3   1.2    11   121    32   159    21   163 0.76 | transcript=PVX_099465.1 | gene=PVX_099465 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr07:792693-794050(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101085.1-p1      -            624 11721at5820          -            163   5.9e-06   24.6   0.1   1   1   2.4e-08     1e-05   23.8   0.1    27   126   215   317   201   350 0.81 | transcript=PVX_101085.1 | gene=PVX_101085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:2618378-2620252(+) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
