#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095380.1-p1      -            253 10762at5820          -            224  7.9e-140  462.2  10.9   1   1  1.8e-142    9e-140  462.0  10.9     1   224     1   230     1   230 0.98 | transcript=PVX_095380.1 | gene=PVX_095380 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-3, putative | transcript_product=proteasome subunit alpha type-3, putative | location=Pv_Sal1_chr08:1070853-1071712(+) | protein_length=253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113585.1-p1      -            235 10762at5820          -            224   1.7e-27   94.8   0.3   1   1   3.9e-30     2e-27   94.6   0.3     7   208     5   210     1   220 0.89 | transcript=PVX_113585.1 | gene=PVX_113585 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=Pv_Sal1_chr11:1683647-1684506(+) | protein_length=235 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114680.1-p1      -            246 10762at5820          -            224   9.5e-26   89.1   1.3   1   1   2.3e-28   1.2e-25   88.8   1.3     7   204     4   207     1   219 0.84 | transcript=PVX_114680.1 | gene=PVX_114680 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=Pv_Sal1_chr11:717266-718149(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081675.1-p1      -            256 10762at5820          -            224     1e-19   69.4   0.1   1   1   2.5e-22   1.3e-19   69.1   0.1     6   189     6   199     1   232 0.78 | transcript=PVX_081675.1 | gene=PVX_081675 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=Pv_Sal1_chr02:551285-552550(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088170.1-p1      -            260 10762at5820          -            224     1e-19   69.4   3.4   1   1   2.6e-22   1.3e-19   69.0   3.4     7   193     8   208     2   232 0.77 | transcript=PVX_088170.1 | gene=PVX_088170 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-6, putative | transcript_product=proteasome subunit alpha type-6, putative | location=Pv_Sal1_chr01:474921-476369(-) | protein_length=260 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114685.1-p1      -            241 10762at5820          -            224   3.1e-19   67.8   0.1   1   1   7.3e-22   3.7e-19   67.6   0.1     7   198     2   197     1   220 0.87 | transcript=PVX_114685.1 | gene=PVX_114685 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-7, putative | transcript_product=proteasome subunit alpha type-7, putative | location=Pv_Sal1_chr11:714007-715299(-) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118620.1-p1      -            269 10762at5820          -            224   1.5e-17   62.3   2.2   1   1   3.8e-20   1.9e-17   62.0   2.2     8   187     6   187     2   215 0.82 | transcript=PVX_118620.1 | gene=PVX_118620 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=Pv_Sal1_chr12:2901610-2902849(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093555.1-p1      -            256 10762at5820          -            224    0.0017   16.4   1.5   1   1   4.9e-06    0.0025   15.8   1.5    36   139    11   116     5   151 0.79 | transcript=PVX_093555.1 | gene=PVX_093555 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=Pv_Sal1_chr01:634033-634957(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124160.1-p1      -            207 10762at5820          -            224    0.0017   16.3   0.1   1   1   5.8e-06    0.0029   15.6   0.1    42   103    44   106    35   204 0.83 | transcript=PVX_124160.1 | gene=PVX_124160 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=Pv_Sal1_chr14:2101422-2102649(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080330.1-p1      -            241 10762at5820          -            224    0.0071   14.3   0.9   1   1   2.2e-05     0.011   13.7   0.8    31   164    35   169    28   213 0.78 | transcript=PVX_080330.1 | gene=PVX_080330 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=Pv_Sal1_chr10:584772-586334(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081375.1-p1      -            218 10762at5820          -            224    0.0092   13.9   0.1   1   1   2.2e-05     0.011   13.7   0.1    59   132    35   110     2   161 0.67 | transcript=PVX_081375.1 | gene=PVX_081375 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=Pv_Sal1_chr02:289551-290774(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10762at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10762at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10762at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:10 2026
# [ok]
