#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098025.1-p1      -           2695 395at5820            -           2124         0 3752.4  35.0   1   4         0         0 2645.7   2.3     1  1398     1  1712     1  1718 0.95 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 395at5820            -           2124         0 3752.4  35.0   2   4  1.9e-169  4.1e-167  556.4   4.3  1400  1843  1744  2277  1739  2297 0.79 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 395at5820            -           2124         0 3752.4  35.0   3   4   0.00083      0.18    7.1   0.3  1752  1891  2268  2408  2240  2411 0.55 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 395at5820            -           2124         0 3752.4  35.0   4   4  7.3e-170  1.6e-167  557.8  13.4  1786  2123  2349  2693  2322  2694 0.83 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 395at5820            -           2124  2.8e-145  484.0  72.0   1   7   6.5e-12   1.4e-09   34.0   3.9    11   124    16   128     4   183 0.79 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 395at5820            -           2124  2.8e-145  484.0  72.0   2   7   1.5e-53   3.3e-51  172.0   0.1   455   724   319   585   290   588 0.89 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 395at5820            -           2124  2.8e-145  484.0  72.0   3   7    0.0058       1.2    4.3   0.1   767   790   594   617   590   621 0.86 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 395at5820            -           2124  2.8e-145  484.0  72.0   4   7   1.7e-08   3.6e-06   22.6   0.2   830   913   724   807   704   823 0.85 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 395at5820            -           2124  2.8e-145  484.0  72.0   5   7   5.2e-48   1.1e-45  153.7   0.4  1230  1363   868  1001   824  1026 0.88 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 395at5820            -           2124  2.8e-145  484.0  72.0   6   7   1.5e-24   3.2e-22   75.9   0.2  1451  1547  1327  1427  1294  1490 0.76 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 395at5820            -           2124  2.8e-145  484.0  72.0   7   7   7.5e-19   1.6e-16   57.0   0.7  1981  2119  1824  1961  1812  1965 0.91 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 395at5820            -           2124  1.4e-131  438.5  49.9   1   8   1.6e-09   3.4e-07   26.0   6.5    10   118    55   161    48   226 0.88 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
