#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003660.1-p1      -            975 3093at5820           -            624    6e-266  882.3  26.9   1   7   5.1e-19   1.4e-15   55.2   0.0     6    46    10    50     2    57 0.92 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003660.1-p1      -            975 3093at5820           -            624    6e-266  882.3  26.9   2   7  5.6e-105  1.6e-101  339.2   0.2    46   230    91   293    85   297 0.92 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003660.1-p1      -            975 3093at5820           -            624    6e-266  882.3  26.9   3   7   3.4e-48   9.4e-45  151.6   0.2   232   338   324   440   321   449 0.91 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003660.1-p1      -            975 3093at5820           -            624    6e-266  882.3  26.9   4   7   2.9e-30   8.1e-27   92.4   0.0   337   424   463   562   457   567 0.89 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003660.1-p1      -            975 3093at5820           -            624    6e-266  882.3  26.9   5   7   6.8e-38   1.9e-34  117.6   0.3   423   496   636   709   631   713 0.97 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003660.1-p1      -            975 3093at5820           -            624    6e-266  882.3  26.9   6   7   1.2e-13   3.4e-10   37.5   1.3   496   526   747   777   744   780 0.94 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003660.1-p1      -            975 3093at5820           -            624    6e-266  882.3  26.9   7   7   3.2e-33   8.9e-30  102.2   0.8   526   600   799   878   795   884 0.92 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098910.1-p1      -           1353 3093at5820           -            624   1.7e-14   51.6  19.8   1   4   8.3e-09   2.3e-05   21.5   0.5    41   137    72   174    57   179 0.77 | transcript=PVX_098910.1 | gene=PVX_098910 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=Pv_Sal1_chr07:346006-350067(+) | protein_length=1353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098910.1-p1      -           1353 3093at5820           -            624   1.7e-14   51.6  19.8   2   4   6.5e-11   1.8e-07   28.5   0.0   120   228   189   295   186   306 0.79 | transcript=PVX_098910.1 | gene=PVX_098910 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=Pv_Sal1_chr07:346006-350067(+) | protein_length=1353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098910.1-p1      -           1353 3093at5820           -            624   1.7e-14   51.6  19.8   3   4   0.00089       2.5    4.9   2.0   233   337   350   462   283   473 0.65 | transcript=PVX_098910.1 | gene=PVX_098910 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=Pv_Sal1_chr07:346006-350067(+) | protein_length=1353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098910.1-p1      -           1353 3093at5820           -            624   1.7e-14   51.6  19.8   4   4   0.00032      0.89    6.4   2.1   428   486   695   755   661   770 0.66 | transcript=PVX_098910.1 | gene=PVX_098910 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=Pv_Sal1_chr07:346006-350067(+) | protein_length=1353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
