#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088125.1-p1      -            545 5689at5820           -            427  5.7e-243  804.5   8.6   1   2   1.7e-35   1.4e-32  111.3   0.9     1    86    26   125    26   138 0.87 | transcript=PVX_088125.1 | gene=PVX_088125 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr01:446507-448144(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088125.1-p1      -            545 5689at5820           -            427  5.7e-243  804.5   8.6   2   2  2.1e-213  1.6e-210  697.6   1.5    93   427   186   534   156   534 0.95 | transcript=PVX_088125.1 | gene=PVX_088125 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr01:446507-448144(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085030.1-p1      -            723 5689at5820           -            427  7.1e-107  356.1  10.9   1   3       1.6   1.3e+03   -3.9   0.1   316   338    68    90    65   101 0.81 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085030.1-p1      -            723 5689at5820           -            427  7.1e-107  356.1  10.9   2   3   4.3e-84   3.4e-81  271.5   1.9   106   324   246   465   229   486 0.94 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085030.1-p1      -            723 5689at5820           -            427  7.1e-107  356.1  10.9   3   3   3.2e-29   2.5e-26   90.7   0.3   316   426   581   702   572   703 0.90 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086040.1-p1      -            450 5689at5820           -            427   2.2e-39  133.7   7.8   1   1   4.2e-42   3.3e-39  133.1   7.8   110   426   129   448    94   449 0.87 | transcript=PVX_086040.1 | gene=PVX_086040 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=Pv_Sal1_chr13:1780093-1781445(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119690.1-p1      -            438 5689at5820           -            427   3.3e-38  129.9   0.1   1   1     5e-41     4e-38  129.6   0.1    72   426    55   434    46   435 0.76 | transcript=PVX_119690.1 | gene=PVX_119690 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl proteinase, putative | transcript_product=aspartyl proteinase, putative | location=Pv_Sal1_chr08:1256510-1259674(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117180.1-p1      -            373 5689at5820           -            427   1.4e-35  121.2   1.5   1   1   2.4e-38   1.9e-35  120.7   1.5   117   425    47   371    21   373 0.80 | transcript=PVX_117180.1 | gene=PVX_117180 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl proteinase, putative | transcript_product=aspartyl proteinase, putative | location=Pv_Sal1_chr12:1645882-1648646(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111035.1-p1      -            479 5689at5820           -            427   1.3e-13   48.9   3.1   1   1   4.8e-16   3.8e-13   47.3   3.1   118   416    84   427    60   437 0.68 | transcript=PVX_111035.1 | gene=PVX_111035 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr06:769058-771632(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116695.1-p1      -            536 5689at5820           -            427     0.004   14.3   3.9   1   2   7.2e-06    0.0057   13.8   0.2   123   279    65   232    58   240 0.59 | transcript=PVX_116695.1 | gene=PVX_116695 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin V, putative | transcript_product=plasmepsin V, putative | location=Pv_Sal1_chr12:1212479-1214089(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116695.1-p1      -            536 5689at5820           -            427     0.004   14.3   3.9   2   2     0.076        60    0.5   0.4   293   357   280   348   272   355 0.76 | transcript=PVX_116695.1 | gene=PVX_116695 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin V, putative | transcript_product=plasmepsin V, putative | location=Pv_Sal1_chr12:1212479-1214089(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
